Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,03-Feb-2014,,,,TATACHEM,262.6,262.6,265.0,256.15,264.40,264.1,261.26,"2,65,792","6,94,39,918.65","4,740"
,EQ,04-Feb-2014,,,,TATACHEM,264.1,253.0,260.0,252.4,259.90,258.8,256.77,"4,88,517","12,54,35,375.70","7,588"
,EQ,05-Feb-2014,,,,TATACHEM,258.8,258.0,260.9,251.1,255.00,254.75,254.78,"3,08,776","7,86,71,015.10","4,090"
,EQ,06-Feb-2014,,,,TATACHEM,254.75,257.4,257.4,252.15,255.05,255.7,255.05,"2,29,483","5,85,29,782.70","3,884"
,EQ,07-Feb-2014,,,,TATACHEM,255.7,258.95,268.25,251.7,267.10,267.4,263.45,"3,30,341","8,70,28,420.60","5,579"
,EQ,10-Feb-2014,,,,TATACHEM,267.4,269.8,272.9,261.3,272.30,270.3,267.28,"2,51,182","6,71,35,161.00","3,686"
,EQ,11-Feb-2014,,,,TATACHEM,270.3,272.0,274.4,268.5,273.00,273.0,272.14,"3,30,245","8,98,72,590.70","3,807"
,EQ,12-Feb-2014,,,,TATACHEM,273.0,274.0,274.5,270.05,272.10,272.15,271.98,"1,12,511","3,06,01,115.70","1,813"
,EQ,13-Feb-2014,,,,TATACHEM,272.15,270.0,271.7,267.15,268.50,269.5,269.5,"85,977","2,31,70,899.40","1,869"
,EQ,14-Feb-2014,,,,TATACHEM,269.5,270.0,270.55,264.4,266.55,267.1,266.83,"83,385","2,22,49,364.45","2,159"
,EQ,17-Feb-2014,,,,TATACHEM,267.1,267.3,272.8,265.0,270.00,270.6,269.89,"1,49,542","4,03,60,283.95","3,106"
,EQ,18-Feb-2014,,,,TATACHEM,270.6,269.85,273.0,268.35,268.35,269.1,270.54,"1,26,486","3,42,20,052.95","2,690"
,EQ,19-Feb-2014,,,,TATACHEM,269.1,269.6,269.9,264.65,267.00,265.65,266.49,"98,962","2,63,72,621.15","2,365"
,EQ,20-Feb-2014,,,,TATACHEM,265.65,267.4,267.9,261.0,265.75,266.1,264.74,"2,08,252","5,51,32,375.60","3,270"
,EQ,21-Feb-2014,,,,TATACHEM,266.1,266.0,270.0,266.0,267.50,268.1,268.29,"93,083","2,49,73,211.45","1,723"
,EQ,24-Feb-2014,,,,TATACHEM,268.1,269.0,271.35,266.0,269.00,270.15,268.85,"69,527","1,86,92,408.25","1,714"
,EQ,25-Feb-2014,,,,TATACHEM,270.15,270.6,274.0,269.0,269.90,270.45,271.77,"1,81,695","4,93,78,706.45","3,255"
,EQ,26-Feb-2014,,,,TATACHEM,270.45,271.0,271.8,265.0,269.15,268.95,268.03,"1,39,477","3,73,84,041.65","3,529"
,EQ,28-Feb-2014,,,,TATACHEM,268.95,268.95,271.1,264.95,268.20,267.85,268.18,"1,66,394","4,46,23,598.70","3,407"
,EQ,03-Mar-2014,,,,TATACHEM,267.85,267.5,268.95,264.4,266.55,266.5,266.77,"1,60,561","4,28,33,530.55","2,195"
,EQ,04-Mar-2014,,,,TATACHEM,266.5,267.0,293.8,267.0,287.65,287.6,287.55,"35,62,556","1,02,44,20,289.95","46,962"
,EQ,05-Mar-2014,,,,TATACHEM,287.6,289.8,292.7,285.8,289.00,290.35,289.54,"12,52,752","36,27,16,450.45","19,366"
,EQ,06-Mar-2014,,,,TATACHEM,290.35,290.35,301.9,288.35,290.95,291.4,295.92,"13,78,107","40,78,06,015.40","23,449"
,EQ,07-Mar-2014,,,,TATACHEM,291.4,292.15,294.2,283.1,287.00,285.85,289.01,"5,34,388","15,44,43,080.50","8,467"
,EQ,10-Mar-2014,,,,TATACHEM,285.85,284.95,293.4,284.0,286.95,286.05,288.54,"3,40,544","9,82,61,990.35","6,177"
,EQ,11-Mar-2014,,,,TATACHEM,286.05,288.0,298.0,285.0,285.50,285.7,291.49,"5,43,156","15,83,25,685.30","10,524"
,EQ,12-Mar-2014,,,,TATACHEM,285.7,285.1,290.9,282.75,284.25,284.55,285.88,"3,18,198","9,09,66,503.55","6,064"
,EQ,13-Mar-2014,,,,TATACHEM,284.55,284.95,288.5,277.0,278.80,278.85,283.59,"2,20,355","6,24,90,248.95","4,114"
,EQ,14-Mar-2014,,,,TATACHEM,278.85,279.7,283.4,275.0,279.25,277.7,278.03,"3,82,256","10,62,78,799.95","7,435"
,EQ,18-Mar-2014,,,,TATACHEM,277.7,278.0,282.1,278.0,281.00,280.45,280.56,"2,07,418","5,81,93,731.00","5,049"
,EQ,19-Mar-2014,,,,TATACHEM,280.45,281.4,287.25,279.0,284.80,284.35,284.82,"3,75,837","10,70,45,871.90","6,475"
,EQ,20-Mar-2014,,,,TATACHEM,284.35,284.0,286.0,275.8,276.60,277.05,280.22,"2,03,806","5,71,10,473.70","4,731"
,EQ,21-Mar-2014,,,,TATACHEM,277.05,275.7,279.4,273.25,274.60,274.45,276.11,"4,06,700","11,22,95,391.55","6,624"
,EQ,22-Mar-2014,,,,TATACHEM,274.45,275.0,276.5,273.6,276.40,275.95,275.81,"25,262","69,67,463.90",537
,EQ,24-Mar-2014,,,,TATACHEM,275.95,276.0,278.6,275.0,276.60,276.5,276.84,"2,01,942","5,59,06,514.95","3,529"
,EQ,25-Mar-2014,,,,TATACHEM,276.5,275.6,284.15,275.6,280.30,280.5,281.57,"3,74,680","10,54,99,232.05","6,232"
,EQ,26-Mar-2014,,,,TATACHEM,280.5,281.0,284.0,278.0,281.50,280.6,281.38,"3,46,847","9,75,95,970.15","7,090"
,EQ,27-Mar-2014,,,,TATACHEM,280.6,278.1,283.0,276.1,277.35,277.65,279.47,"5,26,937","14,72,61,908.30","7,672"
,EQ,28-Mar-2014,,,,TATACHEM,277.65,277.65,286.95,277.65,286.60,286.2,284.86,"5,36,998","15,29,66,743.85","8,230"
,EQ,31-Mar-2014,,,,TATACHEM,286.2,288.0,292.1,284.1,286.85,287.2,288.44,"3,91,016","11,27,84,503.55","6,956"
,EQ,01-Apr-2014,,,,TATACHEM,287.2,288.2,294.0,283.15,294.00,292.7,289.6,"4,77,727","13,83,48,402.25","8,146"
,EQ,02-Apr-2014,,,,TATACHEM,292.7,294.5,295.95,287.55,288.00,288.8,291.07,"5,49,034","15,98,06,815.30","6,482"
,EQ,03-Apr-2014,,,,TATACHEM,288.8,290.8,292.0,280.1,284.75,285.1,286.98,"3,02,500","8,68,12,753.15","5,337"
,EQ,04-Apr-2014,,,,TATACHEM,285.1,283.0,286.6,282.0,283.00,283.0,283.8,"2,84,280","8,06,79,805.80","3,452"
,EQ,07-Apr-2014,,,,TATACHEM,283.0,283.9,287.45,279.65,283.70,283.1,283.29,"2,75,646","7,80,88,184.60","4,489"
,EQ,09-Apr-2014,,,,TATACHEM,283.1,284.4,286.5,281.3,283.75,283.6,283.1,"4,08,973","11,57,82,087.50","4,594"
,EQ,10-Apr-2014,,,,TATACHEM,283.6,284.0,290.65,283.9,284.70,285.4,287.68,"6,86,545","19,75,04,453.35","8,144"
,EQ,11-Apr-2014,,,,TATACHEM,285.4,284.5,293.5,283.55,288.10,288.0,290.1,"7,42,913","21,55,18,461.25","11,631"
,EQ,15-Apr-2014,,,,TATACHEM,288.0,289.7,290.0,278.0,281.00,281.45,283.27,"3,58,337","10,15,06,080.10","6,563"
,EQ,16-Apr-2014,,,,TATACHEM,281.45,281.45,286.4,279.7,280.75,280.5,282.14,"2,55,901","7,22,00,928.00","4,206"
,EQ,17-Apr-2014,,,,TATACHEM,280.5,280.5,283.75,279.5,281.50,281.8,281.62,"3,09,807","8,72,46,579.30","5,829"
,EQ,21-Apr-2014,,,,TATACHEM,281.8,284.6,286.35,282.5,285.70,285.25,284.77,"2,37,833","6,77,27,607.40","3,560"
,EQ,22-Apr-2014,,,,TATACHEM,285.25,286.95,291.9,286.0,289.00,288.2,289.37,"6,98,571","20,21,44,646.80","10,825"
,EQ,23-Apr-2014,,,,TATACHEM,288.2,290.25,291.8,282.35,285.00,283.65,284.87,"5,24,238","14,93,41,578.70","4,937"
,EQ,25-Apr-2014,,,,TATACHEM,283.65,284.75,288.25,280.7,282.65,282.55,284.53,"3,36,573","9,57,64,893.90","5,171"
,EQ,28-Apr-2014,,,,TATACHEM,282.55,282.95,299.5,280.95,296.80,295.85,293.09,"15,60,982","45,75,03,022.05","21,857"
,EQ,29-Apr-2014,,,,TATACHEM,295.85,299.95,302.8,292.0,294.00,294.1,299.09,"15,44,104","46,18,28,249.85","23,828"
,EQ,30-Apr-2014,,,,TATACHEM,294.1,295.0,298.4,282.9,284.50,284.35,291.28,"5,05,674","14,72,93,158.95","8,566"
,EQ,02-May-2014,,,,TATACHEM,284.35,287.85,287.85,282.1,283.60,283.6,284.31,"2,94,292","8,36,70,397.45","4,034"
,EQ,05-May-2014,,,,TATACHEM,283.6,284.0,288.0,282.5,284.80,284.1,285.14,"2,74,178","7,81,78,284.75","6,040"
,EQ,06-May-2014,,,,TATACHEM,284.1,285.5,287.8,283.2,284.90,283.9,285.9,"6,11,279","17,47,62,412.45","8,547"
,EQ,07-May-2014,,,,TATACHEM,283.9,285.0,287.7,284.0,285.50,285.75,286.13,"3,84,881","11,01,26,904.75","5,228"
,EQ,08-May-2014,,,,TATACHEM,285.75,284.2,289.3,284.2,286.80,287.2,286.96,"4,59,571","13,18,78,684.50","5,983"
,EQ,09-May-2014,,,,TATACHEM,287.2,289.7,293.0,287.0,292.40,291.45,290.22,"8,16,576","23,69,90,435.35","8,551"
,EQ,12-May-2014,,,,TATACHEM,291.45,293.2,293.5,289.9,291.00,290.85,291.07,"4,73,014","13,76,78,665.35","5,158"
,EQ,13-May-2014,,,,TATACHEM,290.85,291.5,297.7,290.75,294.40,294.4,293.85,"5,55,322","16,31,79,771.25","6,333"
,EQ,14-May-2014,,,,TATACHEM,294.4,291.65,308.4,291.65,306.85,306.8,302.21,"15,77,981","47,68,77,587.90","17,137"
,EQ,15-May-2014,,,,TATACHEM,306.8,308.0,309.6,288.6,291.55,292.4,298.88,"9,10,292","27,20,69,217.50","12,478"
,EQ,16-May-2014,,,,TATACHEM,292.4,296.5,301.0,289.45,292.10,291.3,295.86,"11,09,432","32,82,34,364.15","8,925"
,EQ,19-May-2014,,,,TATACHEM,291.3,294.05,305.3,294.0,305.00,302.45,300.06,"11,96,433","35,90,01,467.85","10,039"
,EQ,20-May-2014,,,,TATACHEM,302.45,305.35,323.85,305.35,313.10,313.6,315.43,"21,40,257","67,51,11,372.20","22,595"
,EQ,21-May-2014,,,,TATACHEM,313.6,317.0,323.4,310.3,316.50,315.1,317.73,"13,32,601","42,34,13,749.30","15,954"
,EQ,22-May-2014,,,,TATACHEM,315.1,318.9,321.0,314.2,315.00,315.2,316.88,"6,40,381","20,29,25,549.15","7,709"
,EQ,23-May-2014,,,,TATACHEM,315.2,317.25,324.95,316.9,320.50,320.85,320.79,"12,85,844","41,24,86,847.60","12,877"
,EQ,26-May-2014,,,,TATACHEM,320.85,323.9,329.6,305.25,314.90,314.45,322.4,"15,27,701","49,25,29,361.95","18,429"
,EQ,27-May-2014,,,,TATACHEM,314.45,319.5,319.5,310.1,315.90,316.0,315.06,"6,69,625","21,09,74,869.35","9,510"
,EQ,28-May-2014,,,,TATACHEM,316.0,319.0,326.4,314.0,322.40,321.6,320.96,"8,23,584","26,43,35,357.25","11,780"
,EQ,29-May-2014,,,,TATACHEM,321.6,324.3,324.3,313.0,316.00,314.5,316.27,"11,17,965","35,35,78,655.50","11,392"
,EQ,30-May-2014,,,,TATACHEM,314.5,315.0,321.5,300.0,303.20,303.5,309.72,"14,47,869","44,84,38,574.30","20,996"
,EQ,02-Jun-2014,,,,TATACHEM,303.5,305.0,307.0,298.25,301.45,300.95,302.38,"8,03,268","24,28,90,748.45","10,147"
,EQ,03-Jun-2014,,,,TATACHEM,300.95,301.45,310.45,300.95,309.05,309.25,307.46,"10,46,161","32,16,49,272.60","9,746"
,EQ,04-Jun-2014,,,,TATACHEM,309.25,308.0,319.6,308.0,319.15,317.85,314.78,"15,63,688","49,22,13,335.00","16,454"
,EQ,05-Jun-2014,,,,TATACHEM,317.85,319.05,327.1,315.5,322.00,321.55,322.16,"8,63,010","27,80,29,863.15","11,923"
,EQ,06-Jun-2014,,,,TATACHEM,321.55,321.05,342.4,321.05,335.60,335.8,335.43,"18,35,144","61,55,61,341.20","21,656"
,EQ,09-Jun-2014,,,,TATACHEM,335.8,337.0,347.9,332.1,341.50,341.8,341.73,"15,80,211","54,00,11,012.70","20,547"
,EQ,10-Jun-2014,,,,TATACHEM,341.8,342.7,343.3,333.0,337.00,337.15,336.7,"6,66,050","22,42,57,144.80","11,440"
,EQ,11-Jun-2014,,,,TATACHEM,337.15,339.1,339.9,325.75,327.20,329.4,332.93,"4,29,047","14,28,42,284.25","7,270"
,EQ,12-Jun-2014,,,,TATACHEM,329.4,327.0,337.0,326.55,332.45,329.7,331.48,"3,95,178","13,09,94,975.15","8,704"
,EQ,13-Jun-2014,,,,TATACHEM,329.7,332.7,334.1,316.0,318.35,319.15,323.45,"3,89,614","12,60,20,161.10","7,996"
,EQ,16-Jun-2014,,,,TATACHEM,319.15,319.15,324.45,306.05,321.40,322.0,318.19,"4,80,085","15,27,58,091.90","7,272"
,EQ,17-Jun-2014,,,,TATACHEM,322.0,322.0,339.0,319.5,338.00,337.0,332.03,"8,62,927","28,65,20,488.75","13,674"
,EQ,18-Jun-2014,,,,TATACHEM,337.0,337.0,340.85,328.1,333.00,334.1,335.59,"8,04,489","26,99,79,078.95","12,713"
,EQ,19-Jun-2014,,,,TATACHEM,334.1,332.25,342.0,326.0,328.75,329.8,335.18,"6,33,147","21,22,20,197.30","9,525"
,EQ,20-Jun-2014,,,,TATACHEM,329.8,326.5,333.25,324.2,328.00,326.75,329.44,"2,37,867","7,83,62,046.85","4,678"
,EQ,23-Jun-2014,,,,TATACHEM,326.75,328.85,333.0,325.55,329.00,328.75,328.7,"3,75,450","12,34,09,297.20","6,804"
,EQ,24-Jun-2014,,,,TATACHEM,328.75,328.9,339.5,328.35,337.00,337.8,334.03,"7,16,027","23,91,77,643.80","12,100"
,EQ,25-Jun-2014,,,,TATACHEM,337.8,336.5,340.0,333.15,335.00,334.7,336.29,"6,52,304","21,93,63,822.20","9,223"
,EQ,26-Jun-2014,,,,TATACHEM,334.7,334.95,336.8,327.8,329.70,328.95,330.49,"11,08,233","36,62,63,201.60","9,028"
,EQ,27-Jun-2014,,,,TATACHEM,328.95,330.05,332.7,325.0,327.00,327.0,328.23,"4,49,605","14,75,72,551.00","8,782"
,EQ,30-Jun-2014,,,,TATACHEM,327.0,326.5,346.0,326.5,344.00,343.85,338.93,"10,67,512","36,18,09,000.15","13,726"
,EQ,01-Jul-2014,,,,TATACHEM,343.85,346.9,348.9,340.15,342.25,341.45,344.28,"6,76,892","23,30,38,131.85","10,950"
,EQ,02-Jul-2014,,,,TATACHEM,341.45,343.0,355.1,340.05,353.00,352.55,348.93,"12,16,243","42,43,84,788.20","15,352"
,EQ,03-Jul-2014,,,,TATACHEM,352.55,354.1,355.6,340.65,342.65,342.25,346.2,"8,39,232","29,05,45,241.30","13,684"
,EQ,04-Jul-2014,,,,TATACHEM,342.25,344.5,354.8,339.25,351.10,351.55,348.72,"10,17,025","35,46,54,205.05","16,122"
,EQ,07-Jul-2014,,,,TATACHEM,351.55,351.9,353.4,346.5,347.35,348.55,349.05,"4,81,073","16,79,18,804.70","7,184"
,EQ,08-Jul-2014,,,,TATACHEM,348.55,347.4,350.6,325.0,325.50,328.6,337.85,"6,27,986","21,21,66,220.45","11,994"
,EQ,09-Jul-2014,,,,TATACHEM,328.6,328.0,335.5,324.95,327.40,328.4,330.27,"4,97,372","16,42,64,933.05","10,332"
,EQ,10-Jul-2014,,,,TATACHEM,328.4,329.5,337.35,321.15,332.00,332.35,328.75,"9,36,812","30,79,78,857.40","17,489"
,EQ,11-Jul-2014,,,,TATACHEM,332.35,332.5,333.4,320.1,324.00,322.6,325.58,"5,31,055","17,29,02,278.90","11,232"
,EQ,14-Jul-2014,,,,TATACHEM,322.6,319.4,331.8,318.0,329.40,328.55,327.06,"4,10,408","13,42,26,100.75","8,178"
,EQ,15-Jul-2014,,,,TATACHEM,328.55,329.3,333.4,326.6,330.25,331.05,329.84,"3,70,122","12,20,79,619.15","6,162"
,EQ,16-Jul-2014,,,,TATACHEM,331.05,331.0,340.65,330.15,338.10,338.0,335.95,"7,21,054","24,22,40,155.25","8,931"
,EQ,17-Jul-2014,,,,TATACHEM,338.0,338.0,359.4,334.2,338.80,338.85,338.31,"5,93,864","20,09,09,786.10","11,520"
,EQ,18-Jul-2014,,,,TATACHEM,338.85,338.9,342.9,333.6,339.45,338.95,339.07,"6,41,364","21,74,65,111.55","11,767"
,EQ,21-Jul-2014,,,,TATACHEM,338.95,338.15,346.25,338.0,340.40,339.75,342.52,"5,69,572","19,50,90,716.70","6,867"
,EQ,22-Jul-2014,,,,TATACHEM,339.75,342.1,343.85,337.0,343.50,342.45,340.99,"3,39,856","11,58,87,603.45","4,756"
,EQ,23-Jul-2014,,,,TATACHEM,342.45,345.0,346.9,341.2,345.90,344.85,344.04,"5,89,780","20,29,04,989.40","7,567"
,EQ,24-Jul-2014,,,,TATACHEM,344.85,345.55,348.95,343.3,345.05,346.1,346.41,"7,67,722","26,59,46,640.60","11,360"
,EQ,25-Jul-2014,,,,TATACHEM,346.1,347.05,348.4,337.1,338.55,340.75,342.11,"4,15,324","14,20,87,865.95","5,866"
,EQ,28-Jul-2014,,,,TATACHEM,340.75,341.5,342.9,333.9,333.90,336.15,338.59,"3,07,725","10,41,93,256.90","5,785"
,EQ,30-Jul-2014,,,,TATACHEM,336.15,336.15,342.7,330.45,341.90,341.75,336.99,"4,57,729","15,42,50,182.85","7,575"
,EQ,31-Jul-2014,,,,TATACHEM,341.75,340.05,349.5,338.55,345.00,347.2,345.85,"9,08,693","31,42,67,719.10","9,143"
,EQ,01-Aug-2014,,,,TATACHEM,347.2,343.8,349.5,342.25,346.70,347.15,346.96,"5,15,176","17,87,46,295.10","6,873"
,EQ,04-Aug-2014,,,,TATACHEM,347.15,346.3,367.8,346.3,363.20,363.8,360.03,"13,84,440","49,84,36,579.30","19,153"
,EQ,05-Aug-2014,,,,TATACHEM,363.8,365.0,376.7,352.1,373.50,374.35,368.64,"29,85,280","1,10,04,83,912.35","40,144"
,EQ,06-Aug-2014,,,,TATACHEM,374.35,377.0,389.4,375.5,376.50,376.8,381.53,"30,18,904","1,15,18,10,730.45","43,033"
,EQ,07-Aug-2014,,,,TATACHEM,376.8,377.5,385.15,377.0,380.70,379.95,381.28,"10,90,898","41,59,41,043.70","15,147"
,EQ,08-Aug-2014,,,,TATACHEM,379.95,367.7,367.95,358.65,365.45,363.5,363.34,"13,80,269","50,15,09,811.85","16,834"
,EQ,11-Aug-2014,,,,TATACHEM,363.5,365.3,370.8,360.35,364.80,365.75,364.91,"6,50,530","23,73,81,998.90","7,823"
,EQ,12-Aug-2014,,,,TATACHEM,365.75,366.0,368.7,360.4,363.10,363.7,364.49,"8,87,737","32,35,73,030.50","9,374"
,EQ,13-Aug-2014,,,,TATACHEM,363.7,360.1,368.0,353.1,358.55,359.5,363.22,"10,03,907","36,46,40,333.55","11,050"
,EQ,14-Aug-2014,,,,TATACHEM,359.5,360.25,365.0,359.05,361.00,361.05,361.68,"8,40,360","30,39,37,551.65","7,988"
,EQ,18-Aug-2014,,,,TATACHEM,361.05,360.0,375.25,358.5,374.00,374.15,369.86,"8,46,830","31,32,12,499.65","13,539"
,EQ,19-Aug-2014,,,,TATACHEM,374.15,376.5,379.4,371.65,372.10,372.2,374.28,"10,31,429","38,60,48,134.65","13,348"
,EQ,20-Aug-2014,,,,TATACHEM,372.2,375.2,376.4,370.95,373.30,375.15,374.09,"5,00,042","18,70,61,783.20","10,875"
,EQ,21-Aug-2014,,,,TATACHEM,375.15,375.0,381.65,373.1,373.55,374.3,378.13,"8,66,474","32,76,42,091.00","9,152"
,EQ,22-Aug-2014,,,,TATACHEM,374.3,374.7,377.95,367.3,371.80,370.8,372.71,"6,97,939","26,01,31,760.50","7,307"
,EQ,25-Aug-2014,,,,TATACHEM,370.8,375.0,378.6,371.75,373.45,372.8,375.36,"5,33,139","20,01,21,111.25","9,452"
,EQ,26-Aug-2014,,,,TATACHEM,372.8,373.0,375.5,369.25,371.50,370.9,371.9,"3,27,636","12,18,48,773.50","5,830"
,EQ,27-Aug-2014,,,,TATACHEM,370.9,372.5,375.65,369.55,374.85,374.65,373.07,"4,06,422","15,16,21,845.65","5,326"
,EQ,28-Aug-2014,,,,TATACHEM,374.65,376.0,380.75,373.3,378.50,376.95,377.06,"10,89,115","41,06,65,106.65","16,130"
