Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,03-Feb-2014,,,,TATACOMM,276.0,274.95,277.7,265.15,266.45,267.1,271.49,"5,71,475","15,51,50,745.65","8,342"
,EQ,04-Feb-2014,,,,TATACOMM,267.1,258.5,277.35,258.5,273.5,273.45,270.02,"12,21,881","32,99,33,179.35","20,740"
,EQ,05-Feb-2014,,,,TATACOMM,273.45,272.0,277.95,270.2,277.5,275.3,273.87,"5,97,533","16,36,49,049.45","8,587"
,EQ,06-Feb-2014,,,,TATACOMM,275.3,278.4,299.35,278.0,297.5,297.2,291.66,"29,49,809","86,03,53,888.10","36,495"
,EQ,07-Feb-2014,,,,TATACOMM,297.2,300.0,302.7,290.5,294.45,294.2,296.79,"14,48,248","42,98,26,510.30","22,697"
,EQ,10-Feb-2014,,,,TATACOMM,294.2,294.45,298.9,291.55,292.7,293.05,294.96,"4,92,947","14,53,99,869.35","9,410"
,EQ,11-Feb-2014,,,,TATACOMM,293.05,293.9,298.9,288.25,297.0,296.75,293.9,"6,04,217","17,75,78,073.65","10,566"
,EQ,12-Feb-2014,,,,TATACOMM,296.75,299.0,305.85,295.15,302.65,302.85,302.1,"12,50,435","37,77,50,402.10","19,866"
,EQ,13-Feb-2014,,,,TATACOMM,302.85,304.0,304.95,289.9,290.05,291.8,294.04,"11,12,524","32,71,23,305.35","16,870"
,EQ,14-Feb-2014,,,,TATACOMM,291.8,293.0,297.7,285.0,289.2,288.95,290.16,"9,10,177","26,40,97,362.80","12,983"
,EQ,17-Feb-2014,,,,TATACOMM,288.95,285.4,289.9,276.4,280.0,279.85,282.06,"7,64,087","21,55,17,663.50","12,325"
,EQ,18-Feb-2014,,,,TATACOMM,279.85,279.9,284.0,276.4,278.75,279.3,279.46,"11,54,465","32,26,29,974.05","15,708"
,EQ,19-Feb-2014,,,,TATACOMM,279.3,279.35,281.15,271.3,272.05,272.45,274.47,"10,00,660","27,46,51,308.35","13,561"
,EQ,20-Feb-2014,,,,TATACOMM,272.45,272.05,277.8,267.7,275.15,274.7,274.66,"9,67,855","26,58,27,221.45","13,517"
,EQ,21-Feb-2014,,,,TATACOMM,274.7,273.0,278.45,268.2,270.0,271.4,272.39,"12,68,193","34,54,36,957.70","19,359"
,EQ,24-Feb-2014,,,,TATACOMM,271.4,272.05,275.85,268.2,272.75,272.65,272.53,"9,34,339","25,46,37,127.30","12,477"
,EQ,25-Feb-2014,,,,TATACOMM,272.65,273.05,279.35,273.0,277.9,277.8,276.98,"9,21,688","25,52,88,145.30","10,732"
,EQ,26-Feb-2014,,,,TATACOMM,277.8,279.75,283.0,277.5,279.6,279.1,280.28,"7,81,015","21,89,06,036.45","11,170"
