Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,03-Feb-2014,,,,TATAGLOBAL,141.0,140.85,142.95,140.0,140.5,140.7,141.27,"21,40,205","30,23,42,275.90","22,524"
,EQ,04-Feb-2014,,,,TATAGLOBAL,140.7,141.2,143.7,138.5,143.4,143.15,141.37,"28,66,989","40,52,98,374.45","23,282"
,EQ,05-Feb-2014,,,,TATAGLOBAL,143.15,143.15,144.85,142.55,143.1,143.05,143.92,"14,18,289","20,41,24,812.85","11,243"
,EQ,06-Feb-2014,,,,TATAGLOBAL,143.05,144.3,144.3,140.15,141.35,141.15,141.79,"29,05,219","41,19,19,500.15","19,473"
,EQ,07-Feb-2014,,,,TATAGLOBAL,141.15,142.45,144.5,141.8,143.7,143.35,143.41,"20,53,488","29,44,81,639.85","13,798"
,EQ,10-Feb-2014,,,,TATAGLOBAL,143.35,144.35,144.5,142.7,143.5,143.6,143.84,"14,11,856","20,30,87,937.50","9,188"
,EQ,11-Feb-2014,,,,TATAGLOBAL,143.6,144.2,145.85,143.05,144.65,144.85,144.57,"14,65,761","21,19,11,460.40","13,068"
,EQ,12-Feb-2014,,,,TATAGLOBAL,144.85,145.3,145.9,143.5,144.05,144.05,144.26,"14,86,914","21,45,07,288.65","14,061"
,EQ,13-Feb-2014,,,,TATAGLOBAL,144.05,144.0,144.85,141.15,141.5,141.75,142.37,"13,90,278","19,79,29,769.30","16,338"
,EQ,14-Feb-2014,,,,TATAGLOBAL,141.75,141.55,142.4,139.1,140.9,140.55,140.6,"10,60,283","14,90,75,082.95","17,934"
,EQ,17-Feb-2014,,,,TATAGLOBAL,140.55,140.55,141.35,137.7,138.9,138.9,139.13,"10,78,151","14,99,99,620.00","31,773"
,EQ,18-Feb-2014,,,,TATAGLOBAL,138.9,139.1,140.95,138.35,140.25,140.2,139.99,"12,94,179","18,11,72,785.55","13,775"
,EQ,19-Feb-2014,,,,TATAGLOBAL,140.2,140.35,141.75,139.6,140.25,140.35,140.64,"8,82,447","12,41,11,455.35","11,403"
,EQ,20-Feb-2014,,,,TATAGLOBAL,140.35,139.35,141.95,139.15,141.25,141.1,141.01,"7,84,045","11,05,59,292.70","9,064"
,EQ,21-Feb-2014,,,,TATAGLOBAL,141.1,141.25,143.0,141.2,142.0,142.0,142.16,"12,04,144","17,11,81,203.70","12,807"
,EQ,24-Feb-2014,,,,TATAGLOBAL,142.0,142.75,143.0,141.8,142.9,142.7,142.48,"6,13,301","8,73,84,958.20","8,552"
,EQ,25-Feb-2014,,,,TATAGLOBAL,142.7,143.2,143.55,141.0,141.1,141.2,142.0,"10,34,913","14,69,54,015.20","12,724"
,EQ,26-Feb-2014,,,,TATAGLOBAL,141.2,141.7,141.9,139.1,140.4,139.8,140.2,"18,68,445","26,19,51,981.20","14,797"
,EQ,28-Feb-2014,,,,TATAGLOBAL,139.8,140.15,142.15,139.15,139.85,139.7,140.36,"18,52,558","26,00,31,566.05","19,963"
,EQ,03-Mar-2014,,,,TATAGLOBAL,139.7,139.95,141.0,135.25,135.75,135.95,137.76,"29,79,960","41,05,11,012.70","41,112"
,EQ,04-Mar-2014,,,,TATAGLOBAL,135.95,136.8,141.15,135.9,141.05,140.4,139.62,"29,95,506","41,82,17,791.60","35,340"
,EQ,05-Mar-2014,,,,TATAGLOBAL,140.4,141.45,142.25,139.45,140.85,140.9,140.66,"23,17,544","32,59,92,659.80","19,277"
,EQ,06-Mar-2014,,,,TATAGLOBAL,140.9,141.5,143.0,140.15,142.95,142.55,141.38,"30,10,530","42,56,23,333.50","42,635"
,EQ,07-Mar-2014,,,,TATAGLOBAL,142.55,143.5,144.35,141.3,143.0,143.3,143.08,"29,10,251","41,63,87,273.20","26,624"
,EQ,10-Mar-2014,,,,TATAGLOBAL,143.3,143.9,145.1,142.25,143.4,143.8,144.07,"21,27,241","30,64,65,727.30","27,688"
,EQ,11-Mar-2014,,,,TATAGLOBAL,143.8,143.8,146.0,143.0,146.0,145.15,144.29,"21,10,986","30,45,87,885.90","21,201"
,EQ,12-Mar-2014,,,,TATAGLOBAL,145.15,146.05,147.5,145.15,145.6,145.65,146.5,"21,09,508","30,90,43,485.90","15,126"
,EQ,13-Mar-2014,,,,TATAGLOBAL,145.65,146.0,146.9,141.9,142.45,142.55,144.51,"12,40,884","17,93,25,765.40","11,298"
,EQ,14-Mar-2014,,,,TATAGLOBAL,142.55,142.0,143.4,141.0,142.4,142.7,142.31,"12,37,254","17,60,75,975.90","9,671"
,EQ,18-Mar-2014,,,,TATAGLOBAL,142.7,142.7,144.8,142.55,143.4,143.15,143.48,"9,26,631","13,29,52,455.15","9,910"
,EQ,19-Mar-2014,,,,TATAGLOBAL,143.15,143.2,143.8,141.1,141.5,141.3,141.99,"19,82,788","28,15,35,342.00","15,037"
,EQ,20-Mar-2014,,,,TATAGLOBAL,141.3,140.7,143.2,140.7,141.1,141.4,142.16,"15,78,311","22,43,74,336.75","12,684"
,EQ,21-Mar-2014,,,,TATAGLOBAL,141.4,143.0,146.0,142.45,143.7,143.4,144.31,"27,71,806","39,99,94,412.65","17,632"
,EQ,22-Mar-2014,,,,TATAGLOBAL,143.4,144.15,144.15,143.2,143.7,143.65,143.63,"1,25,170","1,79,77,701.65","1,346"
,EQ,24-Mar-2014,,,,TATAGLOBAL,143.65,143.15,144.85,142.5,142.8,142.85,143.3,"12,39,544","17,76,32,238.90","10,927"
,EQ,25-Mar-2014,,,,TATAGLOBAL,142.85,142.55,144.0,142.4,143.0,142.9,143.0,"12,14,418","17,36,62,941.25","8,112"
,EQ,26-Mar-2014,,,,TATAGLOBAL,142.9,144.0,144.8,142.25,142.5,142.75,143.28,"17,63,657","25,26,89,926.50","13,354"
,EQ,27-Mar-2014,,,,TATAGLOBAL,142.75,143.0,143.75,141.3,141.9,141.8,142.14,"31,47,980","44,74,48,582.15","16,635"
,EQ,28-Mar-2014,,,,TATAGLOBAL,141.8,142.85,148.6,142.3,148.2,148.0,145.7,"39,12,192","57,00,15,338.75","24,627"
,EQ,31-Mar-2014,,,,TATAGLOBAL,148.0,150.0,152.7,148.1,150.05,150.05,150.31,"41,43,774","62,28,56,543.85","34,558"
,EQ,01-Apr-2014,,,,TATAGLOBAL,150.05,151.45,154.75,148.8,154.7,154.25,152.41,"48,63,298","74,12,34,246.45","38,560"
,EQ,02-Apr-2014,,,,TATAGLOBAL,154.25,155.0,155.65,152.1,153.35,153.5,153.39,"25,96,842","39,83,19,562.75","20,443"
,EQ,03-Apr-2014,,,,TATAGLOBAL,153.5,154.0,154.3,149.4,151.5,151.55,151.59,"23,46,430","35,57,02,601.50","16,322"
,EQ,04-Apr-2014,,,,TATAGLOBAL,151.55,152.0,153.8,150.15,152.95,152.2,152.16,"19,70,278","29,97,99,558.60","13,872"
,EQ,07-Apr-2014,,,,TATAGLOBAL,152.2,149.3,152.5,148.25,151.25,151.45,150.64,"14,76,512","22,24,22,468.95","12,500"
,EQ,09-Apr-2014,,,,TATAGLOBAL,151.45,152.75,155.95,152.5,154.2,154.4,154.47,"31,83,552","49,17,50,412.95","20,415"
