Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,03-Feb-2014,,,,TATAELXSI,415.05,415.4,424.0,401.75,403.45,404.8,414.84,"14,70,780","61,01,36,794.00","32,317"
,EQ,04-Feb-2014,,,,TATAELXSI,404.8,399.9,412.25,396.0,412.25,410.3,405.9,"10,52,656","42,72,74,802.85","21,885"
,EQ,05-Feb-2014,,,,TATAELXSI,410.3,413.0,417.75,403.25,405.35,405.85,410.98,"8,34,403","34,29,19,327.40","17,226"
,EQ,06-Feb-2014,,,,TATAELXSI,405.85,407.7,413.8,400.1,404.45,403.6,405.9,"6,35,756","25,80,56,159.65","13,873"
,EQ,07-Feb-2014,,,,TATAELXSI,403.6,406.4,412.5,402.3,404.5,405.6,407.38,"6,12,320","24,94,49,573.10","14,247"
,EQ,10-Feb-2014,,,,TATAELXSI,405.6,407.4,409.5,393.6,395.0,395.75,401.55,"4,65,743","18,70,17,827.15","10,964"
,EQ,11-Feb-2014,,,,TATAELXSI,395.75,396.0,404.4,395.15,400.0,398.6,399.69,"5,55,067","22,18,52,825.45","14,425"
,EQ,12-Feb-2014,,,,TATAELXSI,398.6,400.7,402.4,391.7,394.0,393.0,396.89,"3,58,673","14,23,54,189.30","8,659"
,EQ,13-Feb-2014,,,,TATAELXSI,393.0,394.0,419.65,393.15,412.95,413.95,410.12,"24,82,132","1,01,79,82,447.20","55,755"
,EQ,14-Feb-2014,,,,TATAELXSI,413.95,416.4,449.9,416.0,444.75,444.85,437.52,"53,73,652","2,35,11,06,586.05","1,05,816"
,EQ,17-Feb-2014,,,,TATAELXSI,444.85,447.8,465.8,447.05,455.5,453.85,458.07,"33,18,152","1,51,99,53,078.55","73,046"
,EQ,18-Feb-2014,,,,TATAELXSI,453.85,454.95,488.3,448.0,481.25,479.9,468.89,"32,56,789","1,52,70,74,176.20","65,825"
,EQ,19-Feb-2014,,,,TATAELXSI,479.9,483.6,503.0,482.0,495.7,497.45,493.27,"38,49,270","1,89,87,34,162.00","78,097"
,EQ,20-Feb-2014,,,,TATAELXSI,497.45,494.0,509.0,489.3,495.4,498.0,501.4,"30,11,159","1,50,97,80,458.85","63,131"
,EQ,21-Feb-2014,,,,TATAELXSI,498.0,498.6,510.0,495.2,509.3,507.5,502.95,"20,22,944","1,01,74,41,532.00","43,254"
,EQ,24-Feb-2014,,,,TATAELXSI,507.5,508.5,515.8,501.05,504.05,504.55,508.51,"15,26,417","77,62,01,132.50","34,837"
,EQ,25-Feb-2014,,,,TATAELXSI,504.55,506.85,518.8,504.0,510.0,509.75,510.94,"14,80,420","75,64,08,666.90","34,502"
,EQ,26-Feb-2014,,,,TATAELXSI,509.75,509.75,524.25,508.9,523.0,518.45,516.61,"12,12,726","62,65,05,217.00","26,609"
,EQ,28-Feb-2014,,,,TATAELXSI,518.45,522.0,594.0,520.8,590.0,586.2,561.49,"51,16,611","2,87,29,43,490.20","1,03,277"
,EQ,03-Mar-2014,,,,TATAELXSI,586.2,590.0,644.4,588.5,635.35,638.55,621.76,"70,59,289","4,38,92,02,603.35","1,58,924"
,EQ,04-Mar-2014,,,,TATAELXSI,638.55,642.0,667.8,641.05,661.3,659.6,656.54,"49,03,598","3,21,94,28,239.55","1,11,909"
,EQ,05-Mar-2014,,,,TATAELXSI,659.6,663.4,666.8,650.1,658.6,657.35,658.76,"22,87,162","1,50,66,93,794.00","55,972"
,EQ,06-Mar-2014,,,,TATAELXSI,657.35,656.0,659.5,598.05,600.0,602.3,626.38,"28,62,779","1,79,31,99,050.60","75,421"
,EQ,07-Mar-2014,,,,TATAELXSI,602.3,600.0,600.0,558.7,561.5,562.7,577.15,"22,80,308","1,31,60,86,497.25","59,093"
,EQ,10-Mar-2014,,,,TATAELXSI,562.7,560.1,618.95,560.0,618.95,618.25,601.3,"35,39,797","2,12,84,85,820.10","78,889"
,EQ,11-Mar-2014,,,,TATAELXSI,618.25,626.35,639.0,583.35,594.0,594.55,615.92,"26,88,580","1,65,59,50,219.75","68,424"
,EQ,12-Mar-2014,,,,TATAELXSI,594.55,590.0,617.9,577.0,605.6,608.4,601.43,"25,28,384","1,52,06,33,917.95","67,897"
,EQ,13-Mar-2014,,,,TATAELXSI,608.4,608.95,614.7,586.8,589.8,591.75,603.5,"14,09,856","85,08,50,647.70","42,020"
,EQ,14-Mar-2014,,,,TATAELXSI,591.75,586.0,606.4,583.1,593.0,597.9,597.95,"9,31,985","55,72,76,695.90","25,326"
,EQ,18-Mar-2014,,,,TATAELXSI,597.9,596.0,603.8,584.05,585.7,587.05,594.57,"7,94,116","47,21,59,724.65","24,914"
,EQ,19-Mar-2014,,,,TATAELXSI,587.05,588.8,593.0,573.3,577.2,577.5,582.59,"9,03,172","52,61,82,770.70","25,661"
,EQ,20-Mar-2014,,,,TATAELXSI,577.5,579.9,590.55,573.35,574.25,576.4,582.79,"6,27,535","36,57,24,103.40","19,165"
,EQ,21-Mar-2014,,,,TATAELXSI,576.4,578.2,601.5,575.0,585.9,585.7,590.28,"15,74,114","92,91,68,249.70","44,461"
,EQ,22-Mar-2014,,,,TATAELXSI,585.7,587.0,593.7,576.4,583.9,583.65,586.61,"2,24,790","13,18,65,037.55","6,782"
,EQ,24-Mar-2014,,,,TATAELXSI,583.65,587.0,593.0,580.0,581.2,581.7,586.2,"4,68,583","27,46,84,012.90","13,890"
,EQ,25-Mar-2014,,,,TATAELXSI,581.7,577.0,585.4,573.0,574.2,575.25,578.46,"4,07,759","23,58,70,632.15","13,011"
,EQ,26-Mar-2014,,,,TATAELXSI,575.25,578.9,579.4,529.5,538.95,536.2,552.29,"12,58,345","69,49,75,793.55","34,998"
,EQ,27-Mar-2014,,,,TATAELXSI,536.2,540.9,556.0,539.55,549.0,545.65,549.63,"8,49,939","46,71,54,057.05","23,983"
,EQ,28-Mar-2014,,,,TATAELXSI,545.65,550.9,554.45,528.0,533.95,532.95,538.29,"7,96,630","42,88,15,902.45","23,395"
,EQ,31-Mar-2014,,,,TATAELXSI,532.95,537.9,553.95,533.0,542.9,544.95,544.74,"9,43,993","51,42,32,834.95","24,575"
,EQ,01-Apr-2014,,,,TATAELXSI,544.95,546.25,560.8,536.3,553.5,552.8,551.83,"10,34,777","57,10,22,347.55","27,456"
,EQ,02-Apr-2014,,,,TATAELXSI,552.8,555.7,571.6,555.0,560.0,562.0,564.3,"9,83,200","55,48,17,759.60","24,739"
,EQ,03-Apr-2014,,,,TATAELXSI,562.0,563.7,564.9,542.0,552.6,551.35,553.27,"5,01,505","27,74,67,408.60","13,762"
,EQ,04-Apr-2014,,,,TATAELXSI,551.35,552.5,579.5,544.0,566.0,567.0,568.63,"15,88,295","90,31,57,883.20","39,974"
,EQ,07-Apr-2014,,,,TATAELXSI,567.0,567.0,569.4,550.0,554.8,555.25,556.34,"4,60,971","25,64,54,324.00","13,803"
,EQ,09-Apr-2014,,,,TATAELXSI,555.25,556.5,566.9,551.0,555.55,554.9,557.86,"4,69,715","26,20,33,702.30","14,034"
,EQ,10-Apr-2014,,,,TATAELXSI,554.9,557.5,562.9,538.2,540.5,542.15,551.55,"4,79,337","26,43,77,901.85","14,891"
,EQ,11-Apr-2014,,,,TATAELXSI,542.15,542.0,559.9,536.4,545.95,547.6,548.63,"5,03,004","27,59,63,439.45","15,727"
,EQ,15-Apr-2014,,,,TATAELXSI,547.6,549.85,567.75,547.2,548.05,550.95,558.29,"7,90,517","44,13,37,675.30","21,117"
,EQ,16-Apr-2014,,,,TATAELXSI,550.95,553.0,561.65,535.0,542.8,540.45,550.12,"5,30,194","29,16,72,648.80","14,389"
,EQ,17-Apr-2014,,,,TATAELXSI,540.45,543.4,559.8,543.4,552.0,551.3,551.67,"6,02,183","33,22,08,654.25","16,425"
,EQ,21-Apr-2014,,,,TATAELXSI,551.3,555.0,584.0,552.75,581.5,577.95,570.5,"14,20,734","81,05,27,304.50","29,484"
,EQ,22-Apr-2014,,,,TATAELXSI,577.95,582.8,598.8,569.0,571.15,576.65,588.24,"28,06,524","1,65,09,14,645.85","64,720"
,EQ,23-Apr-2014,,,,TATAELXSI,576.65,576.5,581.8,560.1,563.3,564.8,570.23,"7,34,534","41,88,50,110.30","19,962"
,EQ,25-Apr-2014,,,,TATAELXSI,564.8,564.0,565.9,548.1,549.0,549.65,553.78,"4,75,341","26,32,34,916.55","13,128"
,EQ,28-Apr-2014,,,,TATAELXSI,549.65,545.25,573.0,545.0,568.95,567.7,562.05,"9,36,178","52,61,76,987.90","24,692"
,EQ,29-Apr-2014,,,,TATAELXSI,567.7,570.8,584.9,560.1,563.0,562.5,573.51,"11,32,186","64,93,22,801.80","28,775"
,EQ,30-Apr-2014,,,,TATAELXSI,562.5,566.1,574.9,545.05,552.45,550.0,561.53,"5,30,906","29,81,21,778.40","16,281"
,EQ,02-May-2014,,,,TATAELXSI,550.0,554.4,561.1,547.0,549.9,549.9,553.26,"3,50,945","19,41,63,634.80","11,885"
,EQ,05-May-2014,,,,TATAELXSI,549.9,544.7,554.0,538.25,541.95,541.9,546.32,"2,78,885","15,23,60,141.00","9,454"
,EQ,06-May-2014,,,,TATAELXSI,541.9,542.65,548.9,538.0,543.2,540.75,542.75,"2,30,954","12,53,51,087.95","7,512"
,EQ,07-May-2014,,,,TATAELXSI,540.75,542.0,546.2,529.0,533.35,532.05,537.12,"3,35,738","18,03,31,150.15","9,706"
,EQ,08-May-2014,,,,TATAELXSI,532.05,536.5,553.8,521.1,530.85,530.25,539.6,"6,94,160","37,45,71,979.80","20,693"
,EQ,09-May-2014,,,,TATAELXSI,530.25,531.0,535.55,496.7,504.0,505.4,516.05,"6,62,130","34,16,92,704.50","17,864"
,EQ,12-May-2014,,,,TATAELXSI,505.4,508.0,515.0,502.1,506.0,506.25,509.26,"3,20,327","16,31,28,180.85","10,989"
,EQ,13-May-2014,,,,TATAELXSI,506.25,509.0,526.6,507.0,512.0,512.0,516.53,"5,52,407","28,53,36,431.90","14,263"
,EQ,14-May-2014,,,,TATAELXSI,512.0,515.0,519.9,506.6,508.5,508.0,512.25,"2,31,109","11,83,85,476.75","7,434"
,EQ,15-May-2014,,,,TATAELXSI,508.0,510.1,519.0,498.0,502.5,502.35,509.91,"3,33,076","16,98,37,968.50","10,361"
,EQ,16-May-2014,,,,TATAELXSI,502.35,505.0,513.0,480.1,486.05,484.65,492.84,"3,01,880","14,87,77,196.05","8,537"
,EQ,19-May-2014,,,,TATAELXSI,484.65,486.0,499.4,471.05,489.8,492.9,487.1,"5,09,805","24,83,26,383.90","13,641"
,EQ,20-May-2014,,,,TATAELXSI,492.9,488.15,512.7,488.15,501.0,501.25,503.44,"4,16,410","20,96,38,208.25","11,363"
,EQ,21-May-2014,,,,TATAELXSI,501.25,504.4,519.0,499.0,505.6,505.2,509.66,"5,19,635","26,48,35,353.10","13,669"
,EQ,22-May-2014,,,,TATAELXSI,505.2,508.1,554.8,504.75,540.75,542.2,536.57,"16,67,579","89,47,69,392.40","37,897"
,EQ,23-May-2014,,,,TATAELXSI,542.2,546.4,563.0,535.55,539.0,538.3,550.05,"7,33,769","40,36,09,649.00","16,599"
,EQ,26-May-2014,,,,TATAELXSI,538.3,542.45,551.65,488.0,512.0,508.55,528.45,"5,29,045","27,95,74,707.35","14,584"
,EQ,27-May-2014,,,,TATAELXSI,508.55,505.3,524.0,505.3,519.0,518.1,516.03,"3,37,396","17,41,06,969.30","10,124"
,EQ,28-May-2014,,,,TATAELXSI,518.1,519.7,533.8,517.5,523.0,524.05,526.6,"3,93,893","20,74,23,995.40","10,199"
,EQ,29-May-2014,,,,TATAELXSI,524.05,523.8,525.8,508.1,512.5,511.2,514.68,"1,85,026","9,52,28,898.30","5,884"
,EQ,30-May-2014,,,,TATAELXSI,511.2,510.2,522.0,504.3,509.5,509.4,512.06,"1,78,877","9,15,95,480.05","5,933"
,EQ,02-Jun-2014,,,,TATAELXSI,509.4,512.65,520.0,508.0,511.55,513.5,513.27,"1,95,850","10,05,24,306.90","6,191"
,EQ,03-Jun-2014,,,,TATAELXSI,513.5,514.5,553.3,514.5,540.6,540.5,537.71,"13,02,066","70,01,38,747.80","32,164"
,EQ,04-Jun-2014,,,,TATAELXSI,540.5,542.3,549.5,534.0,540.1,540.65,541.54,"4,90,125","26,54,22,106.60","13,478"
,EQ,05-Jun-2014,,,,TATAELXSI,540.65,540.9,569.5,535.2,553.1,553.95,556.51,"11,99,387","66,74,65,096.90","27,330"
,EQ,06-Jun-2014,,,,TATAELXSI,553.95,557.4,567.0,555.0,555.0,557.95,561.16,"5,54,416","31,11,15,108.15","12,982"
,EQ,09-Jun-2014,,,,TATAELXSI,557.95,559.0,562.5,549.0,550.9,550.65,555.11,"2,81,882","15,64,75,336.60","7,517"
