Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,03-Feb-2014,,,,TATAINVEST,390.2,391.05,394.95,387.1,390.25,389.95,390.16,"1,659","6,47,279.35",164
,EQ,04-Feb-2014,,,,TATAINVEST,389.95,387.1,389.5,385.1,389.5,388.85,387.63,"1,843","7,14,407.10",69
,EQ,05-Feb-2014,,,,TATAINVEST,388.85,392.75,395.95,385.0,388.5,388.2,391.53,"6,641","26,00,183.60",396
,EQ,06-Feb-2014,,,,TATAINVEST,388.2,390.0,393.0,385.0,387.55,386.4,387.81,"3,838","14,88,418.90",442
,EQ,07-Feb-2014,,,,TATAINVEST,386.4,387.55,394.25,384.35,392.0,389.65,388.45,"5,059","19,65,178.75",280
,EQ,10-Feb-2014,,,,TATAINVEST,389.65,391.0,392.95,388.35,390.05,390.55,390.38,"1,185","4,62,597.60",108
,EQ,11-Feb-2014,,,,TATAINVEST,390.55,394.8,394.8,391.05,392.6,392.4,392.2,"1,891","7,41,643.25",117
,EQ,12-Feb-2014,,,,TATAINVEST,392.4,394.75,394.75,391.5,393.75,393.4,393.08,"2,317","9,10,777.50",89
,EQ,13-Feb-2014,,,,TATAINVEST,393.4,393.15,393.15,387.05,387.4,387.95,389.44,"3,160","12,30,623.10",268
,EQ,14-Feb-2014,,,,TATAINVEST,387.95,390.0,393.65,386.05,388.0,388.65,388.15,"1,845","7,16,144.50",193
,EQ,17-Feb-2014,,,,TATAINVEST,388.65,392.2,434.9,392.15,407.0,410.75,422.23,"3,40,340","14,37,00,421.55","12,266"
,EQ,18-Feb-2014,,,,TATAINVEST,410.75,411.65,415.95,401.0,409.5,409.8,410.22,"54,274","2,22,64,308.00","2,397"
,EQ,19-Feb-2014,,,,TATAINVEST,409.8,410.3,417.0,406.9,410.5,411.85,411.4,"29,756","1,22,41,638.90","1,900"
,EQ,20-Feb-2014,,,,TATAINVEST,411.85,411.85,430.9,409.95,418.45,417.8,423.84,"1,72,461","7,30,95,311.00","6,168"
,EQ,21-Feb-2014,,,,TATAINVEST,417.8,424.5,434.0,420.1,421.0,421.55,428.18,"1,24,405","5,32,67,620.65","4,334"
,EQ,24-Feb-2014,,,,TATAINVEST,421.55,422.9,427.0,412.3,417.0,418.2,420.95,"29,751","1,25,23,750.65","1,589"
,EQ,25-Feb-2014,,,,TATAINVEST,418.2,418.2,424.0,412.5,413.05,414.55,418.47,"19,858","83,09,967.30","1,118"
