Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,03-Feb-2014,,,,TATAMOTORS,349.55,347.0,349.75,335.6,337.0,336.4,339.82,"55,77,370","1,89,53,12,277.35","76,144"
,EQ,04-Feb-2014,,,,TATAMOTORS,336.4,332.1,346.7,332.1,346.1,345.85,341.59,"1,13,39,969","3,87,36,64,707.00","1,26,492"
,EQ,05-Feb-2014,,,,TATAMOTORS,345.85,343.0,358.5,339.55,355.0,355.1,349.82,"93,37,843","3,26,65,44,385.10","1,34,320"
,EQ,06-Feb-2014,,,,TATAMOTORS,355.1,353.05,360.25,349.0,357.45,357.65,355.79,"79,99,919","2,84,63,21,706.75","64,905"
,EQ,07-Feb-2014,,,,TATAMOTORS,357.65,360.0,363.0,356.1,360.25,360.2,359.61,"54,32,815","1,95,36,87,120.40","55,493"
,EQ,10-Feb-2014,,,,TATAMOTORS,360.2,365.0,367.4,358.0,363.8,364.05,364.56,"65,09,957","2,37,32,37,886.45","77,180"
,EQ,11-Feb-2014,,,,TATAMOTORS,364.05,381.05,382.7,370.65,374.1,374.5,375.79,"1,56,61,815","5,88,55,54,870.95","1,68,062"
,EQ,12-Feb-2014,,,,TATAMOTORS,374.5,376.0,383.0,375.15,376.8,376.65,378.23,"77,20,562","2,92,01,36,419.85","85,385"
,EQ,13-Feb-2014,,,,TATAMOTORS,376.65,380.0,383.45,374.7,375.0,375.95,379.35,"67,53,321","2,56,18,98,404.65","94,374"
,EQ,14-Feb-2014,,,,TATAMOTORS,375.95,380.2,390.0,380.2,389.65,388.8,384.35,"66,88,954","2,57,08,69,009.50","87,433"
,EQ,17-Feb-2014,,,,TATAMOTORS,388.8,392.05,395.45,384.25,386.6,386.6,388.79,"85,51,120","3,32,46,14,996.15","91,511"
,EQ,18-Feb-2014,,,,TATAMOTORS,386.6,387.95,394.25,385.3,391.0,391.4,390.79,"60,11,915","2,34,93,72,392.95","93,325"
,EQ,19-Feb-2014,,,,TATAMOTORS,391.4,392.0,393.0,387.9,391.8,391.5,390.09,"39,04,872","1,52,32,44,974.60","78,593"
,EQ,20-Feb-2014,,,,TATAMOTORS,391.5,391.5,395.0,389.4,391.55,391.85,391.9,"66,63,891","2,61,15,59,613.90","82,068"
,EQ,21-Feb-2014,,,,TATAMOTORS,391.85,395.0,397.8,392.85,396.0,396.2,395.06,"63,29,199","2,50,04,06,012.30","1,86,389"
,EQ,24-Feb-2014,,,,TATAMOTORS,396.2,397.05,400.85,394.2,396.55,396.55,397.16,"51,94,044","2,06,28,56,839.70","72,252"
,EQ,25-Feb-2014,,,,TATAMOTORS,396.55,399.0,399.7,393.55,398.4,398.5,396.31,"30,31,959","1,20,16,00,572.00","53,697"
,EQ,26-Feb-2014,,,,TATAMOTORS,398.5,397.1,402.55,396.05,400.5,401.2,399.89,"72,39,939","2,89,51,50,924.95","81,429"
,EQ,28-Feb-2014,,,,TATAMOTORS,401.2,410.0,418.2,404.35,416.2,416.95,413.88,"1,25,43,449","5,19,14,20,010.65","1,83,776"
,EQ,03-Mar-2014,,,,TATAMOTORS,416.95,415.0,415.0,408.25,409.25,410.7,410.99,"66,13,105","2,71,78,94,652.85","1,19,898"
,EQ,04-Mar-2014,,,,TATAMOTORS,410.7,411.25,420.7,405.8,413.0,412.9,412.0,"55,56,293","2,28,91,82,250.20","79,098"
,EQ,05-Mar-2014,,,,TATAMOTORS,412.9,415.0,416.2,407.15,409.5,409.6,410.71,"40,02,207","1,64,37,40,249.60","75,675"
,EQ,06-Mar-2014,,,,TATAMOTORS,409.6,411.5,412.3,404.4,406.65,408.45,407.3,"56,57,373","2,30,42,32,354.70","61,556"
,EQ,07-Mar-2014,,,,TATAMOTORS,408.45,408.5,415.85,405.5,408.0,409.1,409.56,"59,97,347","2,45,62,96,653.40","72,045"
,EQ,10-Mar-2014,,,,TATAMOTORS,409.1,404.4,406.65,393.45,395.35,396.0,398.12,"57,77,982","2,30,03,16,225.30","1,03,626"
,EQ,11-Mar-2014,,,,TATAMOTORS,396.0,393.0,404.5,393.0,397.65,397.95,399.33,"60,48,848","2,41,55,13,617.65","75,455"
,EQ,12-Mar-2014,,,,TATAMOTORS,397.95,397.1,398.0,388.0,388.5,388.85,391.81,"44,78,567","1,75,47,50,820.55","82,396"
,EQ,13-Mar-2014,,,,TATAMOTORS,388.85,393.45,396.65,384.85,385.6,388.0,392.45,"38,57,870","1,51,40,25,495.40","61,038"
,EQ,14-Mar-2014,,,,TATAMOTORS,388.0,383.0,394.7,383.0,393.6,393.25,389.14,"32,08,372","1,24,84,93,682.70","42,503"
,EQ,18-Mar-2014,,,,TATAMOTORS,393.25,394.0,397.35,380.5,381.5,381.25,386.95,"68,11,167","2,63,55,54,898.55","1,74,819"
,EQ,19-Mar-2014,,,,TATAMOTORS,381.25,385.9,387.65,379.55,385.0,384.35,383.73,"62,65,086","2,40,40,75,761.35","96,657"
,EQ,20-Mar-2014,,,,TATAMOTORS,384.35,382.0,385.0,378.75,379.0,379.7,381.91,"40,92,825","1,56,31,10,387.20","56,656"
,EQ,21-Mar-2014,,,,TATAMOTORS,379.7,382.15,390.0,381.9,389.15,389.15,386.03,"56,85,397","2,19,47,33,165.20","84,906"
,EQ,22-Mar-2014,,,,TATAMOTORS,389.15,388.6,390.0,386.55,388.9,389.0,388.79,"3,00,814","11,69,53,227.25","4,338"
,EQ,24-Mar-2014,,,,TATAMOTORS,389.0,391.0,394.45,389.25,390.7,391.5,392.38,"31,59,565","1,23,97,36,871.50","53,476"
,EQ,25-Mar-2014,,,,TATAMOTORS,391.5,392.0,393.5,386.65,390.85,390.85,390.36,"38,91,051","1,51,89,11,250.35","49,861"
,EQ,26-Mar-2014,,,,TATAMOTORS,390.85,394.6,403.0,394.6,400.35,401.65,400.11,"73,47,685","2,93,98,64,856.70","1,11,043"
,EQ,27-Mar-2014,,,,TATAMOTORS,401.65,403.0,404.95,393.75,397.5,396.7,398.83,"91,66,505","3,65,59,15,418.95","1,01,578"
