Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,03-Feb-2014,,,,TATAPOWER,73.95,75.3,76.65,72.4,72.65,72.65,74.03,"29,94,049","22,16,61,902.05","15,694"
,EQ,04-Feb-2014,,,,TATAPOWER,72.65,72.0,73.5,71.4,72.9,72.65,72.7,"19,10,549","13,88,88,688.35","10,908"
,EQ,05-Feb-2014,,,,TATAPOWER,72.65,73.0,73.5,72.1,73.0,72.95,72.92,"13,67,360","9,97,08,938.30","10,637"
,EQ,06-Feb-2014,,,,TATAPOWER,72.95,73.25,75.85,73.25,75.05,75.25,74.8,"34,69,785","25,95,27,679.95","18,790"
,EQ,07-Feb-2014,,,,TATAPOWER,75.25,76.35,76.75,73.7,75.15,74.9,75.37,"52,67,182","39,69,89,406.30","24,497"
,EQ,10-Feb-2014,,,,TATAPOWER,74.9,74.7,76.0,74.5,75.2,75.55,75.5,"12,05,698","9,10,30,827.55","8,953"
,EQ,11-Feb-2014,,,,TATAPOWER,75.55,75.55,76.7,75.05,76.0,75.9,76.03,"14,00,263","10,64,67,188.40","8,314"
,EQ,12-Feb-2014,,,,TATAPOWER,75.9,76.0,76.5,74.75,74.9,75.1,75.41,"10,89,458","8,21,51,948.80","7,262"
,EQ,13-Feb-2014,,,,TATAPOWER,75.1,76.0,76.0,73.0,73.1,73.1,73.76,"18,87,059","13,91,88,273.90","8,621"
,EQ,14-Feb-2014,,,,TATAPOWER,73.1,73.5,74.45,72.9,73.8,73.85,73.66,"17,51,510","12,90,17,008.40","8,144"
,EQ,17-Feb-2014,,,,TATAPOWER,73.85,74.4,77.7,74.4,77.25,77.45,76.8,"51,06,257","39,21,48,838.45","27,527"
,EQ,18-Feb-2014,,,,TATAPOWER,77.45,77.45,80.1,76.05,79.6,79.45,78.02,"53,79,532","41,97,33,009.60","24,816"
,EQ,19-Feb-2014,,,,TATAPOWER,79.45,79.1,79.5,77.05,77.2,77.4,78.18,"29,85,833","23,34,46,202.10","12,493"
,EQ,20-Feb-2014,,,,TATAPOWER,77.4,76.55,79.8,76.0,78.5,78.35,78.16,"40,81,553","31,89,98,738.35","22,834"
,EQ,21-Feb-2014,,,,TATAPOWER,78.35,78.5,79.9,78.05,78.5,78.8,79.06,"28,81,797","22,78,27,438.25","18,012"
,EQ,24-Feb-2014,,,,TATAPOWER,78.8,83.8,84.35,81.65,82.9,82.85,82.94,"1,39,41,908","1,15,63,19,446.35","48,926"
,EQ,25-Feb-2014,,,,TATAPOWER,82.85,83.25,83.5,80.3,80.9,80.95,81.78,"41,68,059","34,08,64,086.45","21,889"
,EQ,26-Feb-2014,,,,TATAPOWER,80.95,81.8,81.95,78.95,79.3,79.45,80.02,"42,49,582","34,00,48,533.95","16,847"
,EQ,28-Feb-2014,,,,TATAPOWER,79.45,79.9,80.45,78.05,79.1,78.8,79.14,"44,38,765","35,12,70,559.00","24,561"
,EQ,03-Mar-2014,,,,TATAPOWER,78.8,78.8,79.9,77.75,77.95,78.25,78.88,"37,05,493","29,23,03,353.20","17,442"
,EQ,04-Mar-2014,,,,TATAPOWER,78.25,78.0,80.75,77.95,79.9,80.05,79.73,"54,56,455","43,50,37,936.10","22,554"
,EQ,05-Mar-2014,,,,TATAPOWER,80.05,80.4,80.7,77.1,77.5,77.45,78.03,"51,73,350","40,36,97,001.70","22,047"
,EQ,06-Mar-2014,,,,TATAPOWER,77.45,78.2,78.9,77.6,78.3,78.4,78.24,"46,42,716","36,32,59,883.25","24,422"
,EQ,07-Mar-2014,,,,TATAPOWER,78.4,78.8,79.95,77.7,79.45,79.45,79.13,"38,82,691","30,72,41,890.70","18,645"
,EQ,10-Mar-2014,,,,TATAPOWER,79.45,78.95,80.35,77.85,79.0,79.15,79.12,"57,86,452","45,78,32,713.20","20,162"
,EQ,11-Mar-2014,,,,TATAPOWER,79.15,80.3,83.25,80.2,82.05,82.2,81.77,"1,11,95,811","91,54,82,164.55","47,807"
,EQ,12-Mar-2014,,,,TATAPOWER,82.2,82.5,83.7,81.5,83.25,83.3,82.73,"70,67,602","58,47,11,930.40","56,624"
,EQ,13-Mar-2014,,,,TATAPOWER,83.3,83.55,85.6,82.2,83.2,83.1,84.58,"72,89,170","61,65,26,328.50","39,223"
,EQ,14-Mar-2014,,,,TATAPOWER,83.1,83.5,84.85,82.5,83.3,83.35,83.54,"48,87,582","40,82,84,709.10","23,974"
,EQ,18-Mar-2014,,,,TATAPOWER,83.35,83.3,85.35,82.6,84.45,83.9,84.2,"55,69,263","46,89,35,650.60","23,951"
,EQ,19-Mar-2014,,,,TATAPOWER,83.9,81.25,82.9,79.0,79.2,79.4,80.51,"70,37,784","56,65,89,713.45","35,276"
,EQ,20-Mar-2014,,,,TATAPOWER,79.4,79.3,79.6,77.8,78.15,78.0,78.57,"20,53,959","16,13,71,843.10","13,425"
,EQ,21-Mar-2014,,,,TATAPOWER,78.0,78.75,80.15,78.25,79.95,79.85,79.4,"42,79,465","33,97,78,570.25","19,308"
,EQ,22-Mar-2014,,,,TATAPOWER,79.85,80.0,80.2,79.05,79.8,79.4,79.5,"3,63,457","2,88,96,231.50","1,509"
,EQ,24-Mar-2014,,,,TATAPOWER,79.4,79.8,81.15,79.65,80.5,80.45,80.49,"32,33,179","26,02,26,486.20","18,006"
,EQ,25-Mar-2014,,,,TATAPOWER,80.45,81.0,81.75,80.2,81.5,81.55,81.14,"34,57,592","28,05,63,387.65","13,423"
,EQ,26-Mar-2014,,,,TATAPOWER,81.55,81.95,83.0,81.0,81.85,81.85,82.16,"39,36,008","32,33,72,097.75","19,336"
,EQ,27-Mar-2014,,,,TATAPOWER,81.85,81.85,83.1,80.6,82.5,82.75,82.39,"87,96,256","72,47,06,702.85","23,033"
,EQ,28-Mar-2014,,,,TATAPOWER,82.75,82.9,86.95,82.85,86.75,86.55,84.93,"56,26,196","47,78,14,500.65","32,289"
,EQ,31-Mar-2014,,,,TATAPOWER,86.55,87.0,87.9,84.2,85.5,85.15,85.46,"56,35,757","48,16,08,567.85","28,266"
,EQ,01-Apr-2014,,,,TATAPOWER,85.15,85.45,85.5,83.3,84.4,84.25,84.26,"23,14,247","19,49,87,670.15","12,697"
,EQ,02-Apr-2014,,,,TATAPOWER,84.25,85.0,85.85,83.4,85.4,85.15,84.91,"58,48,748","49,66,15,675.85","28,054"
,EQ,03-Apr-2014,,,,TATAPOWER,85.15,85.25,86.0,83.0,84.25,84.4,84.47,"42,53,155","35,92,52,455.60","19,521"
,EQ,04-Apr-2014,,,,TATAPOWER,84.4,84.6,84.7,83.1,83.2,83.35,83.85,"31,91,638","26,76,03,798.15","19,471"
,EQ,07-Apr-2014,,,,TATAPOWER,83.35,84.3,84.5,82.3,82.8,83.0,83.12,"38,26,405","31,80,55,307.65","18,834"
,EQ,09-Apr-2014,,,,TATAPOWER,83.0,83.25,84.5,83.05,83.95,83.95,83.9,"44,57,416","37,39,59,876.20","41,366"
,EQ,10-Apr-2014,,,,TATAPOWER,83.95,84.35,87.9,83.85,87.3,87.3,85.71,"94,63,502","81,11,19,038.80","44,001"
,EQ,11-Apr-2014,,,,TATAPOWER,87.3,87.0,87.65,85.8,86.1,86.25,86.64,"49,95,075","43,27,48,363.45","25,660"
,EQ,15-Apr-2014,,,,TATAPOWER,86.25,87.0,87.0,84.0,84.25,84.65,85.19,"35,37,288","30,13,57,238.90","23,287"
,EQ,16-Apr-2014,,,,TATAPOWER,84.65,84.25,86.0,81.05,81.65,81.65,83.84,"34,02,283","28,52,41,796.10","30,270"
,EQ,17-Apr-2014,,,,TATAPOWER,81.65,81.05,84.25,81.05,83.45,83.95,83.13,"29,57,439","24,58,66,431.35","13,654"
,EQ,21-Apr-2014,,,,TATAPOWER,83.95,83.3,85.35,83.15,83.45,83.6,84.05,"25,29,429","21,26,01,936.55","11,844"
,EQ,22-Apr-2014,,,,TATAPOWER,83.6,84.8,84.8,82.15,83.7,83.8,83.5,"45,21,626","37,75,36,560.90","18,858"
,EQ,23-Apr-2014,,,,TATAPOWER,83.8,84.0,85.05,83.0,83.8,83.65,83.94,"69,88,690","58,66,62,325.50","21,549"
,EQ,25-Apr-2014,,,,TATAPOWER,83.65,83.8,84.7,82.65,83.2,83.05,83.58,"30,48,548","25,47,87,349.95","15,876"
,EQ,28-Apr-2014,,,,TATAPOWER,83.05,82.4,84.15,82.2,82.85,82.95,83.41,"24,50,866","20,44,34,923.35","23,014"
,EQ,29-Apr-2014,,,,TATAPOWER,82.95,83.25,83.7,80.3,80.45,80.9,81.92,"43,61,270","35,72,54,880.45","18,582"
,EQ,30-Apr-2014,,,,TATAPOWER,80.9,80.6,81.7,77.35,78.15,78.1,78.98,"70,23,343","55,46,83,649.55","31,615"
,EQ,02-May-2014,,,,TATAPOWER,78.1,78.95,80.65,78.45,80.15,80.15,79.73,"51,47,535","41,03,87,913.25","21,411"
,EQ,05-May-2014,,,,TATAPOWER,80.15,80.65,80.65,78.3,78.6,78.75,79.05,"26,78,478","21,17,33,569.30","15,021"
,EQ,06-May-2014,,,,TATAPOWER,78.75,79.2,79.55,76.75,77.6,77.5,78.12,"22,33,739","17,45,04,595.85","14,360"
,EQ,07-May-2014,,,,TATAPOWER,77.5,77.8,77.95,76.5,76.85,76.75,77.06,"35,86,567","27,63,74,817.30","13,890"
,EQ,08-May-2014,,,,TATAPOWER,76.75,77.05,77.4,75.65,76.55,76.3,76.46,"26,59,609","20,33,60,500.50","13,441"
,EQ,09-May-2014,,,,TATAPOWER,76.3,77.0,81.0,76.65,80.65,80.6,79.31,"45,19,272","35,84,18,204.65","21,742"
,EQ,12-May-2014,,,,TATAPOWER,80.6,81.0,82.05,80.0,81.85,81.6,81.41,"36,32,458","29,57,06,196.45","24,614"
,EQ,13-May-2014,,,,TATAPOWER,81.6,83.0,86.0,82.45,84.5,84.6,84.73,"89,49,640","75,82,93,563.25","37,231"
,EQ,14-May-2014,,,,TATAPOWER,84.6,85.4,85.4,83.8,84.75,84.75,84.68,"40,87,872","34,61,78,995.80","15,259"
