Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,03-Feb-2014,,,,GREENPOWER,10.45,10.6,10.7,10.25,10.3,10.35,10.44,"14,825","1,54,807.15",87
,EQ,04-Feb-2014,,,,GREENPOWER,10.35,10.2,10.55,10.2,10.5,10.45,10.38,"35,888","3,72,688.25",198
,EQ,05-Feb-2014,,,,GREENPOWER,10.45,10.45,10.5,10.3,10.35,10.35,10.35,"39,734","4,11,215.65",65
,EQ,06-Feb-2014,,,,GREENPOWER,10.35,10.4,10.4,10.2,10.2,10.25,10.34,"66,657","6,89,452.15",154
,EQ,07-Feb-2014,,,,GREENPOWER,10.25,10.35,10.35,10.15,10.35,10.3,10.3,"21,391","2,20,421.95",77
,EQ,10-Feb-2014,,,,GREENPOWER,10.3,10.35,12.3,10.25,10.3,10.4,10.76,"57,402","6,17,606.40",205
,EQ,11-Feb-2014,,,,GREENPOWER,10.4,10.3,10.45,10.1,10.3,10.2,10.27,"23,077","2,36,993.40",146
,EQ,12-Feb-2014,,,,GREENPOWER,10.2,10.05,10.5,10.05,10.25,10.3,10.31,"40,600","4,18,434.30",109
,EQ,13-Feb-2014,,,,GREENPOWER,10.3,10.5,10.5,9.9,10.0,9.95,10.03,"79,626","7,98,315.20",207
,EQ,14-Feb-2014,,,,GREENPOWER,9.95,9.9,10.0,9.9,9.95,9.95,9.94,"22,458","2,23,326.75",79
,EQ,17-Feb-2014,,,,GREENPOWER,9.95,10.0,10.2,9.8,9.8,9.8,9.88,"22,549","2,22,679.45",103
,EQ,18-Feb-2014,,,,GREENPOWER,9.8,9.85,9.85,8.0,9.3,9.25,8.98,"2,29,505","20,60,250.25","1,267"
,EQ,19-Feb-2014,,,,GREENPOWER,9.25,9.3,9.85,9.25,9.65,9.8,9.61,"35,911","3,44,994.80",334
,EQ,20-Feb-2014,,,,GREENPOWER,9.8,9.7,9.85,9.25,9.25,9.35,9.55,"48,303","4,61,145.85",215
,EQ,21-Feb-2014,,,,GREENPOWER,9.35,9.25,9.75,9.25,9.7,9.6,9.53,"49,506","4,71,696.75",369
,EQ,24-Feb-2014,,,,GREENPOWER,9.6,9.75,9.75,9.4,9.45,9.55,9.59,"8,607","82,568.75",83
,EQ,25-Feb-2014,,,,GREENPOWER,9.55,9.75,9.75,9.3,9.5,9.55,9.51,"27,877","2,65,138.65",145
,EQ,26-Feb-2014,,,,GREENPOWER,9.55,9.75,9.75,9.35,9.35,9.45,9.54,"25,099","2,39,474.10",105
,EQ,28-Feb-2014,,,,GREENPOWER,9.45,9.6,9.7,9.4,9.6,9.6,9.54,"11,733","1,11,931.05",84
,EQ,03-Mar-2014,,,,GREENPOWER,9.6,9.75,9.75,9.3,9.35,9.5,9.55,"22,266","2,12,573.70",174
,EQ,04-Mar-2014,,,,GREENPOWER,9.5,9.35,9.7,9.35,9.35,9.35,9.42,"15,195","1,43,208.50",112
,EQ,05-Mar-2014,,,,GREENPOWER,9.35,9.4,9.5,8.25,9.4,9.35,9.16,"81,828","7,49,838.80",268
,EQ,06-Mar-2014,,,,GREENPOWER,9.35,9.4,9.55,8.9,9.5,9.4,9.35,"55,893","5,22,344.35",189
,EQ,07-Mar-2014,,,,GREENPOWER,9.4,9.3,9.65,8.95,9.0,9.1,9.2,"1,17,174","10,78,367.65",266
,EQ,10-Mar-2014,,,,GREENPOWER,9.1,9.0,9.25,8.9,8.95,8.95,9.01,"1,31,633","11,86,441.60",292
,EQ,11-Mar-2014,,,,GREENPOWER,8.95,9.1,9.15,8.9,9.0,9.0,9.01,"85,199","7,67,262.90",218
,EQ,12-Mar-2014,,,,GREENPOWER,9.0,9.0,9.05,8.65,9.05,9.0,8.98,"1,00,760","9,05,007.25",192
,EQ,13-Mar-2014,,,,GREENPOWER,9.0,9.0,9.05,8.7,8.9,8.9,8.94,"1,33,858","11,97,347.55",253
,EQ,14-Mar-2014,,,,GREENPOWER,8.9,9.0,9.2,8.9,9.1,9.1,9.0,"61,856","5,56,919.20",173
,EQ,18-Mar-2014,,,,GREENPOWER,9.1,9.2,9.3,8.95,9.15,9.15,9.0,"47,815","4,30,518.05",101
,EQ,19-Mar-2014,,,,GREENPOWER,9.15,9.1,9.35,9.0,9.05,9.05,9.15,"16,325","1,49,320.70",88
,EQ,20-Mar-2014,,,,GREENPOWER,9.05,8.9,9.3,8.9,9.2,9.15,9.14,"21,107","1,93,020.20",70
,EQ,21-Mar-2014,,,,GREENPOWER,9.15,9.2,9.25,9.0,9.15,9.1,9.09,"34,224","3,11,107.90",76
,EQ,22-Mar-2014,,,,GREENPOWER,9.1,9.2,9.2,9.0,9.0,9.05,9.09,"1,975","17,957.50",52
,EQ,24-Mar-2014,,,,GREENPOWER,9.05,9.0,9.2,8.85,8.9,8.9,8.97,"40,263","3,61,244.50",116
,EQ,25-Mar-2014,,,,GREENPOWER,8.9,8.8,9.0,8.7,8.7,8.75,8.81,"41,768","3,68,036.30",160
,EQ,26-Mar-2014,,,,GREENPOWER,8.75,9.15,9.25,8.55,8.65,8.7,8.88,"1,27,334","11,30,955.65",263
,EQ,27-Mar-2014,,,,GREENPOWER,8.7,8.7,9.0,8.7,8.9,8.9,8.93,"41,267","3,68,480.60",97
,EQ,28-Mar-2014,,,,GREENPOWER,8.9,8.9,9.15,8.85,9.0,9.05,8.95,"35,847","3,20,880.05",106
,EQ,31-Mar-2014,,,,GREENPOWER,9.05,9.2,9.45,9.0,9.45,9.3,9.32,"85,243","7,94,835.35",170
,EQ,01-Apr-2014,,,,GREENPOWER,9.3,9.5,9.6,9.3,9.4,9.5,9.46,"45,797","4,33,410.55",102
,EQ,02-Apr-2014,,,,GREENPOWER,9.5,9.6,9.9,9.35,9.75,9.65,9.5,"80,169","7,61,324.55",164
,EQ,03-Apr-2014,,,,GREENPOWER,9.65,9.55,9.95,9.5,9.7,9.65,9.7,"20,250","1,96,448.60",86
,EQ,04-Apr-2014,,,,GREENPOWER,9.65,9.8,9.85,9.5,9.7,9.75,9.64,"34,583","3,33,325.60",111
,EQ,07-Apr-2014,,,,GREENPOWER,9.75,10.0,10.45,9.45,9.95,10.05,9.96,"1,15,162","11,47,563.75",292
,EQ,09-Apr-2014,,,,GREENPOWER,10.05,10.05,12.05,10.05,11.9,11.95,11.41,"8,10,988","92,54,500.25","1,783"
,EQ,10-Apr-2014,,,,GREENPOWER,11.95,12.2,12.2,10.95,11.15,11.0,11.47,"2,75,714","31,61,744.20",857
,EQ,11-Apr-2014,,,,GREENPOWER,11.0,11.1,11.5,10.65,10.9,11.05,11.18,"1,32,222","14,77,581.00",384
,EQ,15-Apr-2014,,,,GREENPOWER,11.05,10.9,11.3,10.8,11.1,11.0,11.06,"52,076","5,76,007.60",189
,EQ,16-Apr-2014,,,,GREENPOWER,11.0,10.8,11.5,10.0,10.6,10.35,10.63,"1,66,567","17,69,868.55",417
,EQ,17-Apr-2014,,,,GREENPOWER,10.35,10.4,11.2,10.25,10.45,10.35,10.58,"2,14,075","22,63,977.30",590
,EQ,21-Apr-2014,,,,GREENPOWER,10.35,10.45,10.7,10.4,10.65,10.65,10.6,"34,038","3,60,808.25",131
,EQ,22-Apr-2014,,,,GREENPOWER,10.65,10.8,10.9,10.5,10.75,10.6,10.63,"83,995","8,93,039.35",233
,EQ,23-Apr-2014,,,,GREENPOWER,10.6,10.55,10.8,10.5,10.5,10.5,10.61,"69,450","7,37,031.65",210
,EQ,25-Apr-2014,,,,GREENPOWER,10.5,10.7,10.7,10.3,10.35,10.45,10.5,"54,361","5,71,054.05",166
,EQ,28-Apr-2014,,,,GREENPOWER,10.45,10.4,10.6,10.3,10.6,10.6,10.51,"41,720","4,38,669.75",96
,EQ,29-Apr-2014,,,,GREENPOWER,10.6,10.55,10.7,10.4,10.6,10.55,10.53,"45,083","4,74,635.85",117
,EQ,30-Apr-2014,,,,GREENPOWER,10.55,10.7,10.9,10.1,10.2,10.25,10.34,"49,392","5,10,471.65",184
,EQ,02-May-2014,,,,GREENPOWER,10.25,10.05,10.5,9.9,9.95,9.95,10.13,"1,29,619","13,12,811.80",340
,EQ,05-May-2014,,,,GREENPOWER,9.95,10.0,10.2,9.85,9.95,9.9,9.97,"27,205","2,71,204.25",119
,EQ,06-May-2014,,,,GREENPOWER,9.9,10.0,10.1,10.0,10.0,10.0,10.02,"31,138","3,11,950.50",77
,EQ,07-May-2014,,,,GREENPOWER,10.0,10.0,10.25,10.0,10.1,10.05,10.12,"22,318","2,25,832.75",69
,EQ,08-May-2014,,,,GREENPOWER,10.05,9.95,10.1,9.75,9.85,9.8,9.88,"84,424","8,34,046.05",161
,EQ,09-May-2014,,,,GREENPOWER,9.8,9.7,10.15,9.7,9.9,10.05,9.92,"1,05,776","10,49,005.95",220
,EQ,12-May-2014,,,,GREENPOWER,10.05,9.95,10.3,9.95,9.95,10.0,10.07,"58,977","5,93,685.60",204
,EQ,13-May-2014,,,,GREENPOWER,10.0,10.0,10.3,10.0,10.1,10.15,10.14,"67,176","6,81,424.65",191
,EQ,14-May-2014,,,,GREENPOWER,10.15,10.25,10.45,10.25,10.4,10.35,10.37,"65,429","6,78,538.65",204
,EQ,15-May-2014,,,,GREENPOWER,10.35,10.45,11.4,10.45,11.3,11.1,10.9,"1,97,687","21,55,281.75",496
,EQ,16-May-2014,,,,GREENPOWER,11.1,11.4,11.4,10.5,10.75,11.05,11.06,"3,56,069","39,39,534.25",495
,EQ,19-May-2014,,,,GREENPOWER,11.05,11.05,13.25,11.05,13.0,13.15,12.73,"7,54,179","95,98,781.50","1,663"
,EQ,20-May-2014,,,,GREENPOWER,13.15,13.25,14.35,13.2,13.6,13.7,13.73,"4,23,165","58,11,037.80","1,005"
,EQ,21-May-2014,,,,GREENPOWER,13.7,12.6,13.3,12.0,12.9,13.1,12.77,"8,74,722","1,11,73,923.75","1,579"
,EQ,22-May-2014,,,,GREENPOWER,13.1,13.0,15.0,13.0,14.6,14.35,14.19,"10,63,026","1,50,86,178.80","2,128"
,EQ,23-May-2014,,,,GREENPOWER,14.35,15.6,17.2,15.6,17.2,17.2,16.9,"13,31,070","2,24,92,185.40","2,232"
,EQ,26-May-2014,,,,GREENPOWER,17.2,18.9,18.9,15.8,17.0,16.9,18.03,"26,31,598","4,74,58,564.90","4,930"
,EQ,27-May-2014,,,,GREENPOWER,16.9,16.9,17.0,15.3,15.9,15.65,15.75,"4,84,691","76,35,523.45","1,636"
,EQ,28-May-2014,,,,GREENPOWER,15.65,15.55,16.3,14.2,15.6,15.4,15.45,"5,22,735","80,77,794.35","1,486"
,EQ,29-May-2014,,,,GREENPOWER,15.4,15.9,16.0,14.6,15.35,15.4,15.3,"4,29,198","65,68,096.30","1,753"
,EQ,30-May-2014,,,,GREENPOWER,15.4,15.4,16.0,15.1,15.25,15.25,15.51,"1,52,556","23,65,597.65",631
,EQ,02-Jun-2014,,,,GREENPOWER,15.25,15.8,15.9,15.25,15.4,15.55,15.54,"1,85,810","28,87,490.90",595
,EQ,03-Jun-2014,,,,GREENPOWER,15.55,15.85,16.6,15.45,16.0,15.8,16.01,"2,63,151","42,12,579.20",858
,EQ,04-Jun-2014,,,,GREENPOWER,15.8,15.6,17.35,15.6,16.8,16.85,17.0,"7,08,495","1,20,42,304.05","1,877"
,EQ,05-Jun-2014,,,,GREENPOWER,16.85,17.4,17.5,16.75,17.0,16.85,17.09,"3,17,915","54,32,330.90","1,187"
,EQ,06-Jun-2014,,,,GREENPOWER,16.85,17.3,17.5,16.6,16.9,17.05,17.06,"3,27,122","55,79,909.10","1,139"
,EQ,09-Jun-2014,,,,GREENPOWER,17.05,17.9,18.0,17.15,17.8,17.55,17.73,"6,59,369","1,16,87,449.75","1,876"
,EQ,10-Jun-2014,,,,GREENPOWER,17.55,17.5,17.8,16.1,17.2,17.15,16.98,"4,03,037","68,41,962.25","1,291"
,EQ,11-Jun-2014,,,,GREENPOWER,17.15,17.0,18.25,16.25,17.35,17.55,17.4,"7,53,717","1,31,13,511.55","2,049"
,EQ,12-Jun-2014,,,,GREENPOWER,17.55,17.4,18.8,17.0,18.2,18.05,18.05,"7,08,221","1,27,81,967.35","2,255"
,BE,13-Jun-2014,,,,GREENPOWER,18.05,18.95,18.95,17.2,17.95,17.65,18.54,"6,39,190","1,18,52,702.60","1,319"
,BE,16-Jun-2014,,,,GREENPOWER,17.65,16.8,17.35,16.8,16.8,16.85,16.89,"1,73,053","29,22,206.20",414
,BE,17-Jun-2014,,,,GREENPOWER,16.85,17.0,17.65,16.4,17.4,17.0,17.18,"1,75,945","30,22,670.55",486
,BE,18-Jun-2014,,,,GREENPOWER,17.0,16.55,17.85,16.55,17.0,17.05,17.32,"1,16,070","20,10,637.20",301
,BE,19-Jun-2014,,,,GREENPOWER,17.05,16.8,17.5,16.45,17.2,17.0,16.88,"95,151","16,06,271.75",303
,BE,20-Jun-2014,,,,GREENPOWER,17.0,16.8,17.2,16.45,16.8,16.7,16.8,"81,309","13,66,243.80",254
,BE,23-Jun-2014,,,,GREENPOWER,16.7,16.75,17.0,16.25,16.6,16.55,16.61,"53,780","8,93,470.75",190
,BE,24-Jun-2014,,,,GREENPOWER,16.55,16.45,17.2,16.35,16.75,16.65,16.87,"87,781","14,80,656.85",250
,BE,25-Jun-2014,,,,GREENPOWER,16.65,16.9,16.9,16.45,16.5,16.5,16.65,"57,590","9,58,959.00",222
,BE,26-Jun-2014,,,,GREENPOWER,16.5,16.3,17.0,16.1,16.4,16.35,16.38,"81,846","13,40,680.25",242
,BE,27-Jun-2014,,,,GREENPOWER,16.35,16.1,17.05,16.1,17.0,16.85,16.91,"1,67,503","28,33,103.05",270
,BE,30-Jun-2014,,,,GREENPOWER,16.85,17.3,17.45,16.55,17.0,16.95,17.06,"1,27,624","21,77,364.00",254
,BE,01-Jul-2014,,,,GREENPOWER,16.95,17.3,17.3,16.6,17.0,17.05,17.02,"1,29,527","22,03,907.95",166
,BE,02-Jul-2014,,,,GREENPOWER,17.05,17.2,17.5,16.85,16.85,17.05,17.2,"2,00,226","34,43,396.00",455
,BE,03-Jul-2014,,,,GREENPOWER,17.05,17.8,17.8,16.5,16.8,16.7,16.96,"84,379","14,30,872.75",206
,BE,04-Jul-2014,,,,GREENPOWER,16.7,16.7,17.15,16.45,17.1,16.9,16.82,"76,246","12,82,131.65",197
,BE,07-Jul-2014,,,,GREENPOWER,16.9,17.0,17.5,16.25,16.9,16.95,16.9,"66,739","11,27,658.85",228
