Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,01-Feb-2024,,,,NMDC,219.85,222.0,226.7,218.7,226.65,225.4,222.57,"1,55,72,060","3,46,58,85,504.30","77,200"
,EQ,02-Feb-2024,,,,NMDC,225.4,229.3,237.5,227.7,236.7,235.55,232.48,"3,89,31,640","9,05,08,47,552.00","1,88,465"
,EQ,05-Feb-2024,,,,NMDC,235.55,240.0,247.0,237.2,241.15,241.45,242.96,"3,15,33,886","7,66,14,60,667.55","1,75,338"
,EQ,06-Feb-2024,,,,NMDC,241.45,242.25,244.5,235.0,242.95,243.55,239.05,"1,99,47,040","4,76,83,85,955.00","1,18,658"
,EQ,07-Feb-2024,,,,NMDC,243.55,246.4,247.05,240.0,244.0,243.45,243.99,"1,73,90,780","4,24,32,42,333.55","94,515"
,EQ,08-Feb-2024,,,,NMDC,243.45,244.75,246.4,240.55,244.35,244.4,244.31,"91,22,867","2,22,87,70,547.30","59,863"
,EQ,09-Feb-2024,,,,NMDC,244.4,244.35,245.1,233.75,241.5,241.5,239.2,"1,28,29,576","3,06,87,73,368.55","78,884"
,EQ,12-Feb-2024,,,,NMDC,241.5,240.75,244.7,228.2,229.55,230.05,235.11,"1,57,12,800","3,69,42,63,088.90","93,785"
,EQ,13-Feb-2024,,,,NMDC,230.05,234.5,234.5,224.15,227.75,226.8,227.26,"1,62,34,568","3,68,95,47,248.60","87,511"
,EQ,14-Feb-2024,,,,NMDC,226.8,225.4,237.3,223.3,235.8,235.55,231.23,"1,51,65,547","3,50,67,04,239.25","97,829"
,EQ,15-Feb-2024,,,,NMDC,235.55,248.8,252.4,243.0,246.6,246.95,248.08,"6,25,14,312","15,50,85,89,169.00","2,77,457"
