Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,01-Feb-2020,,,,POWERGRID,186.85,186.8,186.8,176.95,182.0,182.4,182.95,"2,31,58,633","4,23,67,68,079.15","1,02,319"
,EQ,03-Feb-2020,,,,POWERGRID,182.4,180.9,189.0,177.45,187.7,187.35,184.34,"91,85,232","1,69,31,95,677.25","62,147"
,EQ,04-Feb-2020,,,,POWERGRID,187.35,188.35,195.3,188.0,192.7,194.35,191.59,"79,91,654","1,53,11,60,161.95","47,585"
,EQ,05-Feb-2020,,,,POWERGRID,194.35,194.1,195.7,188.0,189.9,189.35,192.56,"81,84,571","1,57,60,36,568.00","77,848"
,EQ,06-Feb-2020,,,,POWERGRID,189.35,189.95,193.75,188.65,192.45,192.9,192.03,"51,61,300","99,11,36,161.50","58,008"
,EQ,07-Feb-2020,,,,POWERGRID,192.9,192.8,192.8,188.55,190.5,190.4,190.01,"1,01,57,885","1,93,01,27,846.65","78,987"
,EQ,10-Feb-2020,,,,POWERGRID,190.4,190.7,191.1,184.75,188.1,186.6,187.86,"1,71,40,398","3,21,99,30,387.70","82,901"
,EQ,11-Feb-2020,,,,POWERGRID,186.6,188.5,191.2,188.1,189.6,189.5,189.74,"1,82,56,826","3,46,39,81,281.00","1,39,891"
,EQ,12-Feb-2020,,,,POWERGRID,189.5,190.05,191.9,188.55,189.05,189.35,189.9,"92,17,663","1,75,04,15,704.25","42,903"
,EQ,13-Feb-2020,,,,POWERGRID,189.35,188.8,191.15,187.7,190.15,190.55,189.91,"1,04,51,879","1,98,49,12,270.60","50,545"
,EQ,14-Feb-2020,,,,POWERGRID,190.55,190.5,191.4,183.4,184.9,184.1,187.03,"1,34,04,733","2,50,71,34,863.90","93,433"
,EQ,17-Feb-2020,,,,POWERGRID,184.1,185.0,185.8,180.55,182.9,183.6,183.2,"99,39,542","1,82,09,66,310.35","91,130"
,EQ,18-Feb-2020,,,,POWERGRID,183.6,182.6,186.35,180.85,185.2,185.0,183.07,"1,73,69,937","3,17,99,83,108.45","79,557"
,EQ,19-Feb-2020,,,,POWERGRID,185.0,186.0,187.95,183.0,187.7,187.5,185.46,"1,25,51,481","2,32,77,99,848.10","61,429"
,EQ,20-Feb-2020,,,,POWERGRID,187.5,187.5,190.7,185.9,189.85,189.25,187.7,"1,45,73,061","2,73,54,31,876.85","77,993"
,EQ,24-Feb-2020,,,,POWERGRID,189.25,189.0,189.2,185.05,185.7,186.1,186.19,"83,93,319","1,56,27,24,332.35","57,387"
,EQ,25-Feb-2020,,,,POWERGRID,186.1,186.1,187.7,185.35,186.25,186.15,186.25,"1,00,16,681","1,86,55,59,127.45","61,854"
,EQ,26-Feb-2020,,,,POWERGRID,186.15,185.0,188.4,183.95,185.75,185.85,186.34,"96,26,434","1,79,38,34,036.75","48,232"
,EQ,27-Feb-2020,,,,POWERGRID,185.85,185.1,187.7,181.3,186.8,186.45,184.32,"1,60,15,530","2,95,19,74,297.40","53,137"
,EQ,28-Feb-2020,,,,POWERGRID,186.45,183.45,185.3,179.15,181.85,181.5,182.1,"1,57,56,175","2,86,92,15,337.65","68,419"
,EQ,02-Mar-2020,,,,POWERGRID,181.5,183.75,187.2,181.75,183.25,183.5,184.89,"1,09,91,263","2,03,21,52,665.75","51,460"
,EQ,03-Mar-2020,,,,POWERGRID,183.5,183.8,194.7,182.05,191.2,191.7,188.1,"90,22,112","1,69,70,50,771.45","36,781"
,EQ,04-Mar-2020,,,,POWERGRID,191.7,190.7,198.0,188.55,196.35,197.05,194.52,"95,28,328","1,85,34,43,683.20","77,004"
,EQ,05-Mar-2020,,,,POWERGRID,197.05,196.05,199.55,194.55,197.0,195.95,197.2,"54,64,838","1,07,76,59,212.50","44,139"
,EQ,06-Mar-2020,,,,POWERGRID,195.95,190.5,192.6,188.15,191.65,190.6,191.05,"80,84,242","1,54,44,59,428.20","58,682"
,EQ,09-Mar-2020,,,,POWERGRID,190.6,184.9,188.6,177.95,180.6,180.95,181.64,"3,91,55,287","7,11,22,64,334.30","1,68,813"
,EQ,11-Mar-2020,,,,POWERGRID,180.95,179.5,183.9,177.25,180.4,181.4,180.97,"2,39,65,094","4,33,69,25,445.45","1,06,763"
,EQ,12-Mar-2020,,,,POWERGRID,181.4,176.2,177.9,164.75,165.6,166.1,170.77,"3,28,61,488","5,61,17,49,972.40","1,41,595"
,EQ,13-Mar-2020,,,,POWERGRID,166.1,162.8,172.6,149.5,169.0,167.9,166.54,"2,50,97,373","4,17,98,03,099.60","1,78,521"
,EQ,16-Mar-2020,,,,POWERGRID,167.9,162.4,162.9,155.0,158.25,157.95,157.3,"2,23,13,960","3,50,99,71,372.65","80,171"
,EQ,17-Mar-2020,,,,POWERGRID,157.95,156.55,170.35,155.75,161.15,162.0,164.9,"1,99,46,876","3,28,92,27,973.95","98,486"
,EQ,18-Mar-2020,,,,POWERGRID,162.0,164.0,164.9,122.15,154.6,144.15,146.37,"6,74,48,864","9,87,24,83,533.35","1,25,525"
,EQ,19-Mar-2020,,,,POWERGRID,144.15,145.4,151.9,140.1,147.45,147.15,147.95,"2,47,72,387","3,66,50,85,906.60","1,81,433"
,EQ,20-Mar-2020,,,,POWERGRID,147.15,148.25,161.85,148.25,154.7,157.25,156.95,"7,39,60,859","11,60,82,93,899.75","2,29,475"
,EQ,23-Mar-2020,,,,POWERGRID,157.25,141.55,155.85,141.55,153.25,153.0,150.76,"2,23,11,917","3,36,38,27,841.75","86,833"
,EQ,24-Mar-2020,,,,POWERGRID,153.0,152.05,157.2,145.4,148.8,147.3,151.77,"2,37,95,660","3,61,15,34,835.00","1,37,499"
,EQ,25-Mar-2020,,,,POWERGRID,147.3,148.5,156.95,148.35,149.8,150.25,151.88,"1,31,11,701","1,99,14,03,358.40","75,865"
,EQ,26-Mar-2020,,,,POWERGRID,150.25,150.6,161.7,147.25,160.3,158.35,155.27,"1,42,47,634","2,21,21,59,289.30","85,004"
