Symbol,Series,Date,TradedQty,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol""",PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnoverâ¹,No.ofTrades
,EQ,03-Feb-2014,,,,SUZLON,10.7,10.75,11.4,10.7,11.1,11.05,11.1,"1,19,73,274","13,28,71,170.05","21,461"
,EQ,04-Feb-2014,,,,SUZLON,11.05,10.8,11.6,10.75,11.5,11.5,11.27,"1,06,03,819","11,94,70,093.40","14,106"
,EQ,05-Feb-2014,,,,SUZLON,11.5,11.5,11.8,11.35,11.4,11.45,11.55,"83,89,647","9,69,38,890.05","13,137"
,EQ,06-Feb-2014,,,,SUZLON,11.45,11.4,11.6,11.1,11.35,11.35,11.35,"75,85,444","8,60,64,769.75","10,215"
,EQ,07-Feb-2014,,,,SUZLON,11.35,11.45,11.55,11.1,11.25,11.25,11.33,"41,92,114","4,74,79,598.30","7,508"
,EQ,10-Feb-2014,,,,SUZLON,11.25,11.3,11.5,10.95,11.0,11.0,11.24,"35,12,426","3,94,95,099.95","4,901"
,EQ,11-Feb-2014,,,,SUZLON,11.0,11.05,11.1,10.9,11.0,10.95,11.01,"23,39,177","2,57,46,955.75","3,046"
,EQ,12-Feb-2014,,,,SUZLON,10.95,11.05,11.25,10.95,11.15,11.15,11.12,"37,27,675","4,14,33,588.45","4,798"
,EQ,13-Feb-2014,,,,SUZLON,11.15,11.05,11.3,10.9,11.15,11.05,11.06,"38,79,476","4,29,20,508.00","5,396"
,EQ,14-Feb-2014,,,,SUZLON,11.05,11.05,11.25,10.8,10.95,10.95,10.99,"29,55,217","3,24,81,771.15","4,540"
,EQ,17-Feb-2014,,,,SUZLON,10.95,10.75,10.75,9.95,10.4,10.45,10.32,"69,61,592","7,18,14,470.15","6,307"
,EQ,18-Feb-2014,,,,SUZLON,10.45,10.3,10.5,10.15,10.15,10.2,10.34,"35,61,242","3,68,18,783.20","7,196"
,EQ,19-Feb-2014,,,,SUZLON,10.2,10.1,10.35,10.1,10.2,10.15,10.23,"23,88,836","2,44,27,248.80","4,186"
,EQ,20-Feb-2014,,,,SUZLON,10.15,10.1,10.3,10.1,10.15,10.1,10.15,"15,46,485","1,57,02,634.25","2,408"
,EQ,21-Feb-2014,,,,SUZLON,10.1,10.15,10.35,10.1,10.15,10.15,10.2,"25,06,311","2,55,65,938.80","3,314"
,EQ,24-Feb-2014,,,,SUZLON,10.15,10.1,10.25,10.05,10.25,10.2,10.17,"23,16,114","2,35,61,279.25","3,997"
,EQ,25-Feb-2014,,,,SUZLON,10.2,10.25,10.4,10.2,10.3,10.25,10.29,"16,98,640","1,74,78,011.80","2,577"
,EQ,26-Feb-2014,,,,SUZLON,10.25,10.2,10.4,10.2,10.25,10.25,10.32,"24,11,363","2,48,81,157.20","3,208"
,EQ,28-Feb-2014,,,,SUZLON,10.25,10.2,10.35,10.0,10.1,10.1,10.16,"20,12,595","2,04,49,445.75","3,305"
,EQ,03-Mar-2014,,,,SUZLON,10.1,10.0,10.3,9.95,10.0,10.0,10.07,"26,59,091","2,67,83,847.30","4,174"
,EQ,04-Mar-2014,,,,SUZLON,10.0,10.0,10.55,10.0,10.3,10.3,10.25,"46,82,072","4,79,70,241.65","4,775"
,EQ,05-Mar-2014,,,,SUZLON,10.3,10.35,11.05,10.3,10.65,10.65,10.68,"77,62,718","8,28,85,051.30","7,691"
,EQ,06-Mar-2014,,,,SUZLON,10.65,10.65,10.85,10.5,10.65,10.65,10.67,"29,92,805","3,19,39,378.70","5,130"
,EQ,07-Mar-2014,,,,SUZLON,10.65,10.7,11.1,10.5,10.6,10.6,10.72,"62,95,299","6,74,60,624.50","9,348"
,EQ,10-Mar-2014,,,,SUZLON,10.6,10.7,10.8,10.4,10.45,10.55,10.6,"33,13,965","3,51,35,559.25","6,414"
,EQ,11-Mar-2014,,,,SUZLON,10.55,10.5,10.65,10.1,10.2,10.2,10.38,"45,58,824","4,73,13,173.20","6,663"
,EQ,12-Mar-2014,,,,SUZLON,10.2,10.2,10.45,10.1,10.15,10.15,10.26,"32,01,154","3,28,51,928.00","5,566"
,EQ,13-Mar-2014,,,,SUZLON,10.15,10.2,10.3,10.0,10.1,10.0,10.12,"40,02,869","4,05,15,073.65","8,847"
,EQ,14-Mar-2014,,,,SUZLON,10.0,10.0,10.15,9.95,10.0,10.0,10.03,"35,52,120","3,56,20,619.25","5,167"
,EQ,18-Mar-2014,,,,SUZLON,10.0,10.1,10.25,9.8,10.0,9.85,10.0,"46,75,575","4,67,65,539.15","7,961"
,EQ,19-Mar-2014,,,,SUZLON,9.85,10.0,10.1,9.95,9.95,10.0,10.01,"20,15,363","2,01,73,461.45","3,379"
,EQ,20-Mar-2014,,,,SUZLON,10.0,10.0,10.05,9.7,9.8,9.75,9.88,"36,52,017","3,60,70,574.30","5,388"
,EQ,21-Mar-2014,,,,SUZLON,9.75,9.7,10.25,9.7,10.15,10.2,10.05,"48,76,277","4,89,84,523.25","5,593"
,EQ,22-Mar-2014,,,,SUZLON,10.2,10.2,10.3,10.0,10.05,10.05,10.09,"2,64,069","26,64,550.00",767
,EQ,24-Mar-2014,,,,SUZLON,10.05,10.1,10.2,9.8,9.9,9.9,10.0,"25,88,347","2,58,80,834.75","3,255"
,EQ,25-Mar-2014,,,,SUZLON,9.9,9.9,10.05,9.7,9.75,9.8,9.89,"48,14,557","4,76,12,064.90","6,635"
